"","Name","Sex","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"61","Ateles_hybridus","F",1558.5,99,"Ateles_hybridus","Mammal","Primate","No","No","No","Primate"
"62","Ateles_hybridus","M",1517.9,137,"Ateles_hybridus","Mammal","Primate","No","No","No","Primate"
"63","Ateles_hybridus","Not mentioned",1647.8,172,"Ateles_hybridus","Mammal","Primate","No","No","No","Primate"
"64","Ateles_paniscus","F",1385.6,54,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"65","Ateles_paniscus","M",1297.4,33,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"66","Ateles_paniscus","Not mentioned",1304.1,23,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"67","Athene_noctua","F",1258.9,39,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"68","Athene_noctua","M",1305.6,31,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"69","Athene_noctua","Not mentioned",1201.7,7,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"70","Athene_noctua2","F",1333.4,34,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"71","Athene_noctua2","M",1243.8,26,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"72","Athene_noctua2","Not mentioned",1344.9,44,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"73","Athene_noctua3","F",1340.8,50,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"74","Athene_noctua3","M",1338.6,39,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"75","Athene_noctua3","Not mentioned",1163.8,6,"Athene_noctua","Bird","Bird(notRaptor)","No","Yes","No","Others"
"76","Balaeniceps_rex","F",1519.5,113,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No","Others"
"77","Balaeniceps_rex","M",1539.8,163,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No","Others"
"78","Balaeniceps_rex","Not mentioned",1668.8,181,"Balaeniceps_rex","Bird","Bird(notRaptor)","No","No","No","Others"
"79","Bison_bonasus","F",1796,195,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"80","Bison_bonasus","M",1728.6,199,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"81","Bison_bonasus","Not mentioned",1763,193,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"82","Bison_bonasus2","F",1746.6,202,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"83","Bison_bonasus2","M",1744.5,190,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"84","Bison_bonasus2","Not mentioned",1590.7,156,"Bison_bonasus","Mammal","Ungulate","No","No","No","Others"
"85","Boa_constrictor","F",1831.5,208,"Boa_constrictor","Squamata","Snake","Yes","Yes","No","Snake"
"86","Boa_constrictor","M",1804.6,209,"Boa_constrictor","Squamata","Snake","Yes","Yes","No","Snake"
"87","Boa_constrictor","Not mentioned",1580.9,170,"Boa_constrictor","Squamata","Snake","Yes","Yes","No","Snake"
"88","Bubo_bubo","F",1256,51,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"89","Bubo_bubo","M",1288.2,51,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"90","Bubo_bubo","Not mentioned",1373.6,43,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"91","Bubo_bubo2","F",1384.3,71,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"92","Bubo_bubo2","M",1356.5,53,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"93","Bubo_bubo2","Not mentioned",1256.2,18,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"94","Bubo_scandiacus","F",1213.3,29,"Bubo_scandiacus","Bird","Raptor","No","No","No","Raptor"
"95","Bubo_scandiacus","M",1282.2,42,"Bubo_scandiacus","Bird","Raptor","No","No","No","Raptor"
"96","Bubo_scandiacus","Not mentioned",1371,46,"Bubo_scandiacus","Bird","Raptor","No","No","No","Raptor"
"97","Bufonidae","F",1485.3,102,"Bufonidae","Squamata","Amphibia","No","Yes","No","Others"
"98","Bufonidae","M",1485.2,125,"Bufonidae","Squamata","Amphibia","No","Yes","No","Others"
"99","Bufonidae","Not mentioned",1723,207,"Bufonidae","Squamata","Amphibia","No","Yes","No","Others"
"100","Buprestidae","F",1654.2,172,"Buprestidae","Insect","Coleoptera","No","No","No","Others"
"101","Buprestidae","M",1582.7,151,"Buprestidae","Insect","Coleoptera","No","No","No","Others"
"102","Buprestidae","Not mentioned",1690.1,188,"Buprestidae","Insect","Coleoptera","No","No","No","Others"
"103","Buteo_galapagoensis","F",1586.8,129,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No","Raptor"
"104","Buteo_galapagoensis","M",1496.1,112,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No","Raptor"
"105","Buteo_galapagoensis","Not mentioned",1344.2,64,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No","Raptor"
"106","Cairina_moschata","F",1516.6,148,"Cairina_moschata","Bird","Bird(notRaptor)","No","Yes","No","Others"
"107","Cairina_moschata","M",1485.2,144,"Cairina_moschata","Bird","Bird(notRaptor)","No","Yes","No","Others"
"108","Cairina_moschata","Not mentioned",1510.2,104,"Cairina_moschata","Bird","Bird(notRaptor)","No","Yes","No","Others"
"109","Calliphora_vomitoria","F",1501.1,132,"Calliphora_vomitoria","Insect","Diptera","No","No","No","Others"
"110","Calliphora_vomitoria","M",1561.2,118,"Calliphora_vomitoria","Insect","Diptera","No","No","No","Others"
"111","Calliphora_vomitoria","Not mentioned",1556.2,151,"Calliphora_vomitoria","Insect","Diptera","No","No","No","Others"
"112","Callithrix_argentata","F",1354.3,63,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"113","Callithrix_argentata","M",1368.5,60,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"114","Callithrix_argentata","Not mentioned",1531.2,130,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"115","Callithrix_penicillata","F",1365,75,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"116","Callithrix_penicillata","M",1329.9,69,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"117","Callithrix_penicillata","Not mentioned",1341.3,50,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"118","Calloselasma rhodostoma","F",1899.6,217,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes","Snake"
"119","Calloselasma rhodostoma","M",1897.9,218,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes","Snake"
"120","Calloselasma rhodostoma","Not mentioned",1743.8,204,"Calloselasma_rhodostoma","Squamata","Snake","No","Yes","Yes","Snake"
"121","Canis_lupus","F",1534.3,139,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes","Canidae"
"122","Canis_lupus","M",1620.4,149,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes","Canidae"
"123","Canis_lupus","Not mentioned",1518.9,124,"Canis_lupus_","Mammal","Canidae","Yes","Yes","Yes","Canidae"
"124","Canis_lupus_familiaris","F",1489.8,106,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"125","Canis_lupus_familiaris","M",1616.8,161,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"126","Canis_lupus_familiaris","Not mentioned",1570.4,146,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"127","Canis_lupus_familiaris2","F",1311,26,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"128","Canis_lupus_familiaris2","M",1339.2,40,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"129","Canis_lupus_familiaris2","Not mentioned",1399.8,37,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"130","Carlito_syrichta","F",1357.1,66,"Carlito_syrichta","Mammal","Primate","No","Yes","No","Primate"
"131","Carlito_syrichta","M",1331.7,59,"Carlito_syrichta","Mammal","Primate","No","Yes","No","Primate"
"132","Carlito_syrichta","Not mentioned",1479.9,110,"Carlito_syrichta","Mammal","Primate","No","Yes","No","Primate"
"133","Centurio_senex","F",1716.3,192,"Centurio_senex","Mammal","Chiroptera","No","No","No","Others"
"134","Centurio_senex","M",1689.1,167,"Centurio_senex","Mammal","Chiroptera","No","No","No","Others"
