"Name","Sex","EloScore","EloRank"
"Mygale","M",1805.7,204
"Myocastor_coypus","M",1311,37
"Naja_naja","M",1935.1,219
"Nasua_narica","M",1351.1,95
"Nasua_nasua","M",1386.1,57
"Necrosyrtes_monachus","M",1580.3,153
"Neofelis_nebulosa","M",1634.3,162
"Nestor_meridionalis","M",1335.9,63
"Notechis_scutatus","M",1862.9,193
"Numida_meleagris","M",1479.9,131
"Nyctereutes_procyonoides","M",1313.5,75
"Odonata","M",1499.5,120
"Odonata2","M",1446.7,114
"Oryctolagus_cuniculus","M",1074.9,6
"Oryctolagus_cuniculus2","M",902.5,2
"Otocolobus_manul","M",1529.7,110
"Pamphagidae","M",1428.8,91
"Pan_paniscus","M",1457,99
"Pan_paniscus2","M",1468.5,122
"Pan_paniscus3","M",1442,102
"Pan_paniscus4","M",1445.8,84
"Pan_troglodytes","M",1521.1,152
"Pan_troglodytes2","M",1389.8,56
"Panthera_leo","M",1805.2,192
"Panthera_leo2","M",1788.5,189
"Panthera_leo3","M",1815.1,198
"Panthera_onca","M",1795.1,206
"Panthera_onca_2","M",1741.4,201
"Panthera_onca3","M",1902.4,203
"Panthera_pardus","M",1736.6,200
"Panthera_pardus_3","M",1708.7,210
"Panthera_pardus2","M",1690.2,174
"Panthera_tigris2","M",1832.9,216
"Panthera_uncia","M",1767,166
"Papillon","M",1479.7,111
"Papio_hamadryas","M",1612.5,170
"Pardofelis_temminckii","M",1584.7,129
"Petroica_macrocephala","M",1036.6,1
"Phacochoerus_africanus","M",1783.3,194
"Phascolarctos_cinereus","M",1076.6,3
"Phascolarctos_cinereus2","M",1078.1,5
"Pholcus_phalangioides","M",1783.3,207
"Pithecia pithecia","M",1587.7,133
"Pithecia pithecia2","M",1521,113
"Plathyrrhinus_fusciventris","M",1463.6,124
"Podarcis_muralis","M",1535.2,138
"Pogona_vitticeps","M",1415.4,80
"Porphyrio_hochstetteri","M",1458.9,89
"Procyon_lotor","M",1301.5,47
"Propithecus_coquereli","M",1230.1,44
"Propithecus_verreauxi","M",1249.2,32
"Psittacus_erithacus","M",1279.7,28
"Pteropus_conspicillatus","M",1381.8,104
"Puma_concolor","M",1729.2,182
"Python_bivittatus","M",1795.2,208
"Python_regius","M",1801.9,187
"Rattus_norvegicus","M",1381.7,30
"Rhinopithecus_roxellana","M",1283.1,35
"Rhyticeros_cassidix","M",1422.1,82
"Romalea_microptera","M",1398.9,105
"Saiga_tatarica","M",1447.1,83
"Sarcophilus_harrisii","M",1585.9,143
"Spalax","M",1521,115
"Spheniscus_humboldti","M",1224.4,12
"Stephanoaetus_coronatus","M",1464.7,116
"Strophurus","M",1445.5,100
"Struthio_camelus","M",1596.2,145
"Sula_nebouxii","M",1393.2,64
"Sula_sula","M",1462.4,103
"Suricata_suricatta","M",1278.1,50
"Sus_scrofa","M",1570.6,148
"Tapirus_indicus","M",1364.6,76
"Taricha_torosa","M",1475.1,93
"Tauraco_leucotis","M",1122.1,4
"Testudo_hermanni","M",1133.3,9
"Thalassarche_cauta","M",1489.5,97
"Theropithecus_gelada","M",1691.3,197
"Thomisus_onustus","M",1704.5,172
"Tockus_flavirostris","M",1490.4,90
"Trichosurus_vulpecula","M",1419.3,126
"Ursus_arctos_horribilis","M",1798.3,186
"Ursus_maritimus","M",1835.4,181
"Ursus_thibetanus","M",1703.2,183
"Varecia_rubra","M",1443.6,87
"Varecia_variegata","M",1320.5,46
"Vespula_germanica","M",1660.4,168
"Vicugna_pacos","M",1319.9,25
"Vicugna_pacos2","M",1332.6,61
"Vicugna_vicugna","M",1200.9,15
"Vipera_ammodytes","M",1879,217
"Vipera_aspis","M",1785.8,196
"Vulpes_zerda","M",1338.5,65
"Zamenis_longissimus","M",1710.7,178
"Zoropsis_spinimana","M",1791.6,205
"Acinonyx_jubatus","Not mentioned",1607.9,178
