"name","F","M","Not mentioned","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Necrosyrtes_monachus",1603.1,1548.9,1409.3,"Necrosyrtes_monachus","Bird","Raptor","No","No","No"
"Neofelis_nebulosa",1664.4,1628.6,1626.6,"Neofelis_nebulosa","Mammal","Felidae","Yes","No","Yes"
"Nestor_meridionalis",1327.1,1308.6,1337.1,"Nestor_meridionalis","Bird","Bird(notRaptor)","No","No","No"
"Notechis_scutatus",1881,1792.5,1727.4,"Notechis_scutatus","Squamata","Snake","No","Yes","Yes"
"Numida_meleagris",1549.2,1468.8,1585.7,"Numida_meleagris","Bird","Bird(notRaptor)","No","No","No"
"Nyctereutes_procyonoides",1333.3,1378.1,1453.9,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No"
"Odonata",1532.8,1480.3,1492.7,"Odonata","Insect","Odonata","No","Yes","No"
"Odonata2",1603.2,1553.9,1378.2,"Odonata","Insect","Odonata","No","Yes","No"
"Oryctolagus_cuniculus",994.8,1086.6,1172.7,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Oryctolagus_cuniculus2",968.2,921.7,1220.4,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Otocolobus_manul",1452.7,1400.8,1441.6,"Otocolobus_manul","Mammal","Felidae","No","Yes","No"
"Pamphagidae",1478.2,1408.3,1388.7,"Pamphagidae","Insect","Orthoptere","No","No","No"
"Pan_paniscus",1449,1512.5,1483,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus2",1402,1463.4,1666.4,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus3",1421.5,1403.8,1493.3,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus4",1406.6,1402.6,1417.3,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_troglodytes",1535.5,1546.4,1596.1,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Pan_troglodytes2",1352.3,1425.4,1434.1,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Panthera_leo",1761.6,1835.9,1648.7,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_leo2",1698.8,1728.4,1731.4,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_leo3",1756.1,1772.8,1615.8,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca",1780.1,1768.7,1722.6,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca_2",1665.3,1795.3,1780.4,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca3",1749.5,1863.4,1816.1,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus",1700,1800.1,1752.8,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus_3",1748.7,1816.6,1637.4,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus2",1671,1792.9,1671,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_tigris2",1752.5,1842,1638.5,"Panthera_tigris","Mammal","Felidae","Yes","No","Yes"
"Panthera_uncia",1703.2,1734.2,1699.9,"Panthera_uncia","Mammal","Felidae","Yes","No","Yes"
"Papillon",1594.9,1565.5,1424,"Papillon","Insect","Lepidoptera","No","No","No"
"Papio_hamadryas",1643.4,1644.4,1633.3,"Papio_hamadryas","Mammal","Primate","No","No","No"
"Pardofelis_temminckii",1502.4,1605.4,1557,"Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No"
"Petroica_macrocephala",974.8,962.4,1198.5,"Petroica_macrocephala","Bird","Bird(notRaptor)","No","No","No"
"Phacochoerus_africanus",1771,1726.9,1748.2,"Phacochoerus_africanus","Mammal","Ungulate","No","No","No"
"Phascolarctos_cinereus",1090.9,1045.4,1271.4,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Phascolarctos_cinereus2",1070.5,1131.8,1178.7,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Pholcus_phalangioides",1834,1812.8,1785.2,"Pholcus_phalangioides","Spider","Spider","No","Yes","No"
"Pithecia pithecia",1500.3,1553.7,1589.5,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Pithecia pithecia2",1573,1545.2,1502.6,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Plathyrrhinus_fusciventris",1576,1533.4,1407.5,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No"
"Podarcis_muralis",1592.3,1599.7,1521.8,"Podarcis_muralis","Squamata","Lizard","No","Yes","No"
"Pogona_vitticeps",1496.2,1414.9,1496.3,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No"
"Porphyrio_hochstetteri",1477.9,1488.7,1456,"Porphyrio_hochstetteri","Bird","Bird(notRaptor)","No","No","No"
"Procyon_lotor",1352.1,1329.2,1347.3,"Procyon_lotor","Mammal","Procyonide","No","Yes","No"
"Propithecus_coquereli",1301.9,1228,1318.7,"Propithecus_coquereli","Mammal","Primate","No","No","No"
"Propithecus_verreauxi",1292.6,1236,1299.7,"Propithecus_verreauxi","Mammal","Primate","No","No","No"
"Psittacus_erithacus",1198.1,1182.1,1454.8,"Psittacus_erithacus","Bird","Bird(notRaptor)","No","No","No"
"Pteropus_conspicillatus",1435.1,1419.3,1438.5,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No"
"Puma_concolor",1703.6,1775.2,1718.8,"Puma_concolor","Mammal","Felidae","Yes","No","Yes"
"Python_bivittatus",1844.5,1818.8,1727.2,"Python_bivittatus","Squamata","Snake","Yes","Yes","Yes"
"Python_regius",1786.4,1785.7,1663.3,"Python_regius","Squamata","Snake","No","Yes","No"
"Rattus_norvegicus",1306.1,1310,1284.6,"Rattus_norvegicus","Mammal","Rodent","No","No","No"
"Rhinopithecus_roxellana",1349.9,1280.2,1362.8,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No"
"Rhyticeros_cassidix",1383.2,1371,1347.6,"Rhyticeros_cassidix","Bird","Bird(notRaptor)","No","No","No"
"Romalea_microptera",1469.7,1403.3,1457.6,"Romalea_microptera","Insect","Orthoptere","No","No","No"
"Saiga_tatarica",1394.7,1465,1458.1,"Saiga_tatarica","Mammal","Ungulate","No","No","No"
"Sarcophilus_harrisii",1573.3,1624.2,1778.2,"Sarcophilus_harrisii","Mammal","Marsupial","No","Yes","No"
"Spalax",1571.5,1491.5,1281.2,"Spalax","Mammal","Rodent","No","No","No"
"Spheniscus_humboldti",1142,1147.2,1193.7,"Spheniscus_humboldti","Bird","Bird(notRaptor)","No","Yes","No"
"Stephanoaetus_coronatus",1492.5,1499.7,1464.7,"Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No"
"Strophurus",1500.5,1422,1303.2,"Strophurus_","Squamata","Lizard","No","Yes","No"
"Struthio_camelus",1527.6,1566.9,1642.7,"Struthio_camelus","Bird","Bird(notRaptor)","No","No","No"
"Sula_nebouxii",1505.5,1401.6,1448.2,"Sula_nebouxii","Bird","Bird(notRaptor)","No","Yes","No"
"Sula_sula",1532.8,1470.8,1421.2,"Sula_sula","Bird","Bird(notRaptor)","No","Yes","No"
"Suricata_suricatta",1351.7,1301.5,1381.2,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No"
"Sus_scrofa",1636.1,1609.7,1548,"Sus_scrofa","Mammal","Ungulate","No","No","Yes"
"Tapirus_indicus",1379.9,1346.5,1463.5,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Taricha_torosa",1458.5,1552.8,1482.9,"Taricha_torosa","Squamata","Amphibia","No","Yes","No"
"Tauraco_leucotis",1175,1083.6,1211,"Tauraco_leucotis","Bird","Bird(notRaptor)","No","No","No"
"Testudo_hermanni",1210.5,1123.8,1277,"Testudo_hermanni","Squamata","Tortoise","No","No","No"
"Thalassarche_cauta",1507.5,1509.3,1558.3,"Thalassarche_cauta","Bird","Bird(notRaptor)","No","No","No"
