"name","variable","value"
"Pithecia pithecia","M",1587.7
"Pithecia pithecia2","M",1521
"Plathyrrhinus_fusciventris","M",1463.6
"Podarcis_muralis","M",1535.2
"Pogona_vitticeps","M",1415.4
"Porphyrio_hochstetteri","M",1458.9
"Procyon_lotor","M",1301.5
"Propithecus_coquereli","M",1230.1
"Propithecus_verreauxi","M",1249.2
"Psittacus_erithacus","M",1279.7
"Pteropus_conspicillatus","M",1381.8
"Puma_concolor","M",1729.2
"Python_bivittatus","M",1795.2
"Python_regius","M",1801.9
"Rattus_norvegicus","M",1381.7
"Rhinopithecus_roxellana","M",1283.1
"Rhyticeros_cassidix","M",1422.1
"Romalea_microptera","M",1398.9
"Saiga_tatarica","M",1447.1
"Sarcophilus_harrisii","M",1585.9
"Spalax","M",1521
"Spheniscus_humboldti","M",1224.4
"Stephanoaetus_coronatus","M",1464.7
"Strophurus","M",1445.5
"Struthio_camelus","M",1596.2
"Sula_nebouxii","M",1393.2
"Sula_sula","M",1462.4
"Suricata_suricatta","M",1278.1
"Sus_scrofa","M",1570.6
"Tapirus_indicus","M",1364.6
"Taricha_torosa","M",1475.1
"Tauraco_leucotis","M",1122.1
"Testudo_hermanni","M",1133.3
"Thalassarche_cauta","M",1489.5
"Theropithecus_gelada","M",1691.3
"Thomisus_onustus","M",1704.5
"Tockus_flavirostris","M",1490.4
"Trichosurus_vulpecula","M",1419.3
"Ursus_arctos_horribilis","M",1798.3
"Ursus_maritimus","M",1835.4
"Ursus_thibetanus","M",1703.2
"Varecia_rubra","M",1443.6
"Varecia_variegata","M",1320.5
"Vespula_germanica","M",1660.4
"Vicugna_pacos","M",1319.9
"Vicugna_pacos2","M",1332.6
"Vicugna_vicugna","M",1200.9
"Vipera_ammodytes","M",1879
"Vipera_aspis","M",1785.8
"Vulpes_zerda","M",1338.5
"Zamenis_longissimus","M",1710.7
"Zoropsis_spinimana","M",1791.6
"Acinonyx_jubatus","Not mentioned",1607.9
"Acinonyx_jubatus2","Not mentioned",1693.8
"Acryllium_vulturinum","Not mentioned",1490.9
"Aepyceros_melampus","Not mentioned",1389.3
"Aepyceros_melampus2","Not mentioned",1410.6
"Agalychnis_callidryas","Not mentioned",1514.4
"Ailuropoda_melanoleuca","Not mentioned",1336.5
"Ailurops_ursinus","Not mentioned",1348.7
"Ailurus_fulgens","Not mentioned",1292.2
"Alligator_mississippiensis","Not mentioned",1812.9
"Amblyrhynchus_cristatus","Not mentioned",1682.5
"Aonyx_cinereus","Not mentioned",1290.4
"Aonyx_cinereus2","Not mentioned",1275.3
"Aquila_chrysaetos","Not mentioned",1419.3
"Ara_ararauna","Not mentioned",1478.2
"Ara_chloropterus","Not mentioned",1198.4
"Arctocephalus forsteri","Not mentioned",1564.5
"Arctocephalus_forsteri2","Not mentioned",1400.8
"Artibeus_planirostris","Not mentioned",1494.3
"Asio_flammeus","Not mentioned",1132.7
"Ateles_hybridus","Not mentioned",1647.8
"Ateles_paniscus","Not mentioned",1304.1
"Athene_noctua","Not mentioned",1201.7
"Athene_noctua2","Not mentioned",1344.9
"Athene_noctua3","Not mentioned",1163.8
"Balaeniceps_rex","Not mentioned",1668.8
"Bison_bonasus","Not mentioned",1763
"Bison_bonasus2","Not mentioned",1590.7
"Boa_constrictor","Not mentioned",1580.9
"Bubo_bubo","Not mentioned",1373.6
"Bubo_bubo2","Not mentioned",1256.2
"Bubo_scandiacus","Not mentioned",1371
"Bufonidae","Not mentioned",1723
"Buprestidae","Not mentioned",1690.1
"Buteo_galapagoensis","Not mentioned",1344.2
"Cairina_moschata","Not mentioned",1510.2
"Calliphora_vomitoria","Not mentioned",1556.2
"Callithrix_argentata","Not mentioned",1531.2
"Callithrix_penicillata","Not mentioned",1341.3
"Calloselasma rhodostoma","Not mentioned",1743.8
"Canis_lupus","Not mentioned",1518.9
"Canis_lupus_familiaris","Not mentioned",1570.4
"Canis_lupus_familiaris2","Not mentioned",1399.8
"Carlito_syrichta","Not mentioned",1479.9
"Centurio_senex","Not mentioned",1558.9
"Cerdocyon_thous","Not mentioned",1392.6
"Chelonoidis_porteri","Not mentioned",1342.2
"Choloepus_didactylus","Not mentioned",1331.2
"Choloepus_didactylus2","Not mentioned",1211.8
"Choloepus_didactylus3","Not mentioned",1350.7
"Chroicocephalus_scopulinus","Not mentioned",1402.6
"Columba_livia","Not mentioned",1326.3
"Conolophus_pallidus","Not mentioned",1670.3
"Corvus","Not mentioned",1388.7
"Corvus2","Not mentioned",1333.7
"Crocodylus_porosus","Not mentioned",1744.6
"Crocuta_crocuta","Not mentioned",1728.1
"Crotalus_atrox","Not mentioned",1733.5
"Crotalus2","Not mentioned",1680.3
"Cryptoprocto _ferox","Not mentioned",1496.6
"Cynictis_penicillata","Not mentioned",1495.1
"Dasypus_novemcinctus","Not mentioned",1263.1
"Daubentonia_madagascariensis","Not mentioned",1493.6
"Dendroaspis_angusticeps","Not mentioned",1776.9
"Desmodus_rotondus","Not mentioned",1462.4
"Didelphis_virginiana","Not mentioned",1611.3
"Equus_caballus","Not mentioned",1353.2
"Eudyptes chrysolophus","Not mentioned",1285.5
"Eudyptes_chrysocome","Not mentioned",1559
"Eulemur _coronatus","Not mentioned",1512.1
"Eulemur _coronatus2","Not mentioned",1312.9
