"name","F","M","Not mentioned"
"Saiga_tatarica",1394.7,1465,1458.1
"Sarcophilus_harrisii",1573.3,1624.2,1778.2
"Spalax",1571.5,1491.5,1281.2
"Spheniscus_humboldti",1142,1147.2,1193.7
"Stephanoaetus_coronatus",1492.5,1499.7,1464.7
"Strophurus",1500.5,1422,1303.2
"Struthio_camelus",1527.6,1566.9,1642.7
"Sula_nebouxii",1505.5,1401.6,1448.2
"Sula_sula",1532.8,1470.8,1421.2
"Suricata_suricatta",1351.7,1301.5,1381.2
"Sus_scrofa",1636.1,1609.7,1548
"Tapirus_indicus",1379.9,1346.5,1463.5
"Taricha_torosa",1458.5,1552.8,1482.9
"Tauraco_leucotis",1175,1083.6,1211
"Testudo_hermanni",1210.5,1123.8,1277
"Thalassarche_cauta",1507.5,1509.3,1558.3
"Theropithecus_gelada",1708.5,1715.7,1655
"Thomisus_onustus",1769.8,1729.4,1727.5
"Tockus_flavirostris",1520.5,1485.6,1490.4
"Trichosurus_vulpecula",1435.9,1472.6,1466
"Ursus_arctos_horribilis",1785.4,1778.2,1716.4
"Ursus_maritimus",1672.1,1762,1713.6
"Ursus_thibetanus",1704.5,1731.7,1723
"Varecia_rubra",1381.8,1372.9,1526.3
"Varecia_variegata",1396.3,1325.7,1411.1
"Vespula_germanica",1640.7,1716.8,1582.4
"Vicugna_pacos",1331.8,1336.7,1206.3
"Vicugna_pacos2",1343.3,1324.2,1400
"Vicugna_vicugna",1195.1,1203.5,1430.6
"Vipera_ammodytes",1838.7,1811.4,1907.3
"Vipera_aspis",1820.5,1816.6,1891.7
"Vulpes_zerda",1289.7,1246.3,1282.5
"Zamenis_longissimus",1792.5,1716.6,1646.8
"Zoropsis_spinimana",1780.9,1736.6,1480
