"name","variable","value"
"Gorilla_gorilla_gorilla","F",160
"Gulo_gulo","F",136
"Gulo_gulo2","F",120
"Gymnogyps_californianus","F",157
"Gypaetus_barbatus","F",116
"Gypaetus_barbatus2","F",123
"Gyps_rueppelli","F",137
"Haematopus_ater","F",30
"Harpia_Harpyja","F",73
"Helarctos_malayanus","F",193
"Hemicentetes_semispinosus","F",111
"Heterocephalus_glaber","F",168
"Hippopotamus_amphibius","F",170
"Hyaena_hyaena","F",173
"Hyles_euphorbiae","F",131
"Hylobates_agilis","F",82
"Hypsignathus_monstrosus","F",147
"Iguana_iguana","F",143
"Iguana_iguana2","F",140
"Incilius_alvarius","F",107
"Incilius_alvarius2","F",84
"Intellagama_lesueurii","F",154
"Laticauda_laticaudata","F",205
"Laticauda_saintgironsi","F",211
"Lemur_catta","F",23
"Lemur_catta2","F",32
"Leopardus_wiedii","F",87
"Leptailurus_serval","F",81
"Leptoptilos_crumenifer","F",144
"Libellula_quadrimaculata","F",142
"Litoria_infrafrenata","F",24
"Loris_tardigradus","F",20
"Loxodonta_africana","F",112
"Lycaon_pictus","F",177
"Lycaon_pictus2","F",153
"Lynx_rufus","F",159
"Lynx_rufus2","F",146
"Macaca_fuscata","F",128
"Macaca_silenus","F",114
"Macronectes_halli","F",138
"Macropus_rufogriseus","F",46
"Malayopython_reticulatus","F",215
"Malpolon_monspessulanus","F",197
"Mandrillus_sphinx","F",167
"Mandrillus_sphinx2","F",141
"Miopithecus_ogouensis","F",80
"Morelia_spilota","F",213
"Mungos_mungo","F",95
"Muscardinus_avellanarius","F",9
"Mygale","F",214
"Myocastor_coypus","F",37
"Naja_naja","F",212
"Nasua_narica","F",76
"Nasua_nasua","F",59
"Necrosyrtes_monachus","F",115
"Neofelis_nebulosa","F",152
"Nestor_meridionalis","F",41
"Notechis_scutatus","F",216
"Numida_meleagris","F",122
"Nyctereutes_procyonoides","F",64
"Odonata","F",127
"Odonata2","F",110
"Oryctolagus_cuniculus","F",3
"Oryctolagus_cuniculus2","F",1
"Otocolobus_manul","F",101
"Pamphagidae","F",121
"Pan_paniscus","F",97
"Pan_paniscus2","F",89
"Pan_paniscus3","F",91
"Pan_paniscus4","F",79
"Pan_troglodytes","F",145
"Pan_troglodytes2","F",60
"Panthera_leo","F",171
"Panthera_leo2","F",174
"Panthera_leo3","F",187
"Panthera_onca","F",190
"Panthera_onca_2","F",182
"Panthera_onca3","F",191
"Panthera_pardus","F",198
"Panthera_pardus_3","F",196
"Panthera_pardus2","F",179
"Panthera_tigris2","F",181
"Panthera_uncia","F",184
"Papillon","F",125
"Papio_hamadryas","F",175
"Pardofelis_temminckii","F",150
"Petroica_macrocephala","F",2
"Phacochoerus_africanus","F",207
"Phascolarctos_cinereus","F",4
"Phascolarctos_cinereus2","F",5
"Pholcus_phalangioides","F",210
"Pithecia pithecia","F",98
"Pithecia pithecia2","F",126
"Plathyrrhinus_fusciventris","F",118
"Podarcis_muralis","F",166
"Pogona_vitticeps","F",117
"Porphyrio_hochstetteri","F",94
"Procyon_lotor","F",28
"Propithecus_coquereli","F",27
"Propithecus_verreauxi","F",52
"Psittacus_erithacus","F",43
"Pteropus_conspicillatus","F",83
"Puma_concolor","F",180
"Python_bivittatus","F",199
"Python_regius","F",201
"Rattus_norvegicus","F",69
"Rhinopithecus_roxellana","F",55
"Rhyticeros_cassidix","F",93
"Romalea_microptera","F",100
"Saiga_tatarica","F",72
"Sarcophilus_harrisii","F",149
"Spalax","F",134
"Spheniscus_humboldti","F",14
"Stephanoaetus_coronatus","F",96
"Strophurus","F",109
"Struthio_camelus","F",155
"Sula_nebouxii","F",103
"Sula_sula","F",105
"Suricata_suricatta","F",47
"Sus_scrofa","F",156
"Tapirus_indicus","F",56
"Taricha_torosa","F",92
"Tauraco_leucotis","F",6
"Testudo_hermanni","F",15
"Thalassarche_cauta","F",104
"Theropithecus_gelada","F",189
"Thomisus_onustus","F",178
"Tockus_flavirostris","F",124
"Trichosurus_vulpecula","F",74
"Ursus_arctos_horribilis","F",185
"Ursus_maritimus","F",169
"Ursus_thibetanus","F",188
"Varecia_rubra","F",78
"Varecia_variegata","F",62
"Vespula_germanica","F",163
"Vicugna_pacos","F",40
"Vicugna_pacos2","F",53
"Vicugna_vicugna","F",18
"Vipera_ammodytes","F",219
"Vipera_aspis","F",206
"Vulpes_zerda","F",33
"Zamenis_longissimus","F",203
"Zoropsis_spinimana","F",194
"Acinonyx_jubatus","M",177
"Acinonyx_jubatus2","M",179
"Acryllium_vulturinum","M",127
"Aepyceros_melampus","M",48
"Aepyceros_melampus2","M",43
"Agalychnis_callidryas","M",96
"Ailuropoda_melanoleuca","M",62
"Ailurops_ursinus","M",78
"Ailurus_fulgens","M",22
"Alligator_mississippiensis","M",220
"Amblyrhynchus_cristatus","M",154
"Aonyx_cinereus","M",11
"Aonyx_cinereus2","M",19
"Aquila_chrysaetos","M",85
"Ara_ararauna","M",21
"Ara_chloropterus","M",14
"Arctocephalus forsteri","M",141
"Arctocephalus_forsteri2","M",77
"Artibeus_planirostris","M",142
"Asio_flammeus","M",16
"Ateles_hybridus","M",137
"Ateles_paniscus","M",33
"Athene_noctua","M",31
"Athene_noctua2","M",26
"Athene_noctua3","M",39
"Balaeniceps_rex","M",163
"Bison_bonasus","M",199
"Bison_bonasus2","M",190
"Boa_constrictor","M",209
"Bubo_bubo","M",51
"Bubo_bubo2","M",53
"Bubo_scandiacus","M",42
"Bufonidae","M",125
"Buprestidae","M",151
"Buteo_galapagoensis","M",112
"Cairina_moschata","M",144
"Calliphora_vomitoria","M",118
"Callithrix_argentata","M",60
