"name","variable","value"
"Tauraco_leucotis","High school + Middle school",25
"Testudo_hermanni","High school + Middle school",43
"Thalassarche_cauta","High school + Middle school",146
"Theropithecus_gelada","High school + Middle school",209
"Thomisus_onustus","High school + Middle school",145
"Tockus_flavirostris","High school + Middle school",139
"Trichosurus_vulpecula","High school + Middle school",115
"Ursus_arctos_horribilis","High school + Middle school",185
"Ursus_maritimus","High school + Middle school",124
"Ursus_thibetanus","High school + Middle school",148
"Varecia_rubra","High school + Middle school",122
"Varecia_variegata","High school + Middle school",46
"Vespula_germanica","High school + Middle school",192
"Vicugna_pacos","High school + Middle school",32
"Vicugna_pacos2","High school + Middle school",35
"Vicugna_vicugna","High school + Middle school",33
"Vipera_ammodytes","High school + Middle school",166
"Vipera_aspis","High school + Middle school",207
"Vulpes_zerda","High school + Middle school",72
"Zamenis_longissimus","High school + Middle school",195
"Zoropsis_spinimana","High school + Middle school",199
"Acinonyx_jubatus","High school diploma",144
"Acinonyx_jubatus2","High school diploma",203
"Acryllium_vulturinum","High school diploma",134
"Aepyceros_melampus","High school diploma",18
"Aepyceros_melampus2","High school diploma",27
"Agalychnis_callidryas","High school diploma",105
"Ailuropoda_melanoleuca","High school diploma",43
"Ailurops_ursinus","High school diploma",29
"Ailurus_fulgens","High school diploma",35
"Alligator_mississippiensis","High school diploma",221
"Amblyrhynchus_cristatus","High school diploma",159
"Aonyx_cinereus","High school diploma",17
"Aonyx_cinereus2","High school diploma",14
"Aquila_chrysaetos","High school diploma",149
"Ara_ararauna","High school diploma",32
"Ara_chloropterus","High school diploma",7
"Arctocephalus forsteri","High school diploma",127
"Arctocephalus_forsteri2","High school diploma",60
"Artibeus_planirostris","High school diploma",140
"Asio_flammeus","High school diploma",61
"Ateles_hybridus","High school diploma",59
"Ateles_paniscus","High school diploma",26
"Athene_noctua","High school diploma",31
"Athene_noctua2","High school diploma",16
"Athene_noctua3","High school diploma",58
"Balaeniceps_rex","High school diploma",122
"Bison_bonasus","High school diploma",215
"Bison_bonasus2","High school diploma",147
"Boa_constrictor","High school diploma",219
"Bubo_bubo","High school diploma",37
"Bubo_bubo2","High school diploma",39
"Bubo_scandiacus","High school diploma",34
"Bufonidae","High school diploma",100
"Buprestidae","High school diploma",212
"Buteo_galapagoensis","High school diploma",125
"Cairina_moschata","High school diploma",123
"Calliphora_vomitoria","High school diploma",154
"Callithrix_argentata","High school diploma",94
"Callithrix_penicillata","High school diploma",28
"Calloselasma rhodostoma","High school diploma",196
"Canis_lupus","High school diploma",148
"Canis_lupus_familiaris","High school diploma",62
"Canis_lupus_familiaris2","High school diploma",30
"Carlito_syrichta","High school diploma",44
"Centurio_senex","High school diploma",175
"Cerdocyon_thous","High school diploma",67
"Chelonoidis_porteri","High school diploma",48
"Choloepus_didactylus","High school diploma",64
"Choloepus_didactylus2","High school diploma",21
"Choloepus_didactylus3","High school diploma",63
"Chroicocephalus_scopulinus","High school diploma",47
