"name","variable","value"
"Vipera_aspis","High school + Middle school",1776.2
"Vulpes_zerda","High school + Middle school",1386.9
"Zamenis_longissimus","High school + Middle school",1663.7
"Zoropsis_spinimana","High school + Middle school",1718.4
"Acinonyx_jubatus","High school diploma",1604
"Acinonyx_jubatus2","High school diploma",1771.8
"Acryllium_vulturinum","High school diploma",1581.5
"Aepyceros_melampus","High school diploma",1235.5
"Aepyceros_melampus2","High school diploma",1241.7
"Agalychnis_callidryas","High school diploma",1491.6
"Ailuropoda_melanoleuca","High school diploma",1280.4
"Ailurops_ursinus","High school diploma",1213.8
"Ailurus_fulgens","High school diploma",1247.7
"Alligator_mississippiensis","High school diploma",2013.6
"Amblyrhynchus_cristatus","High school diploma",1583.8
"Aonyx_cinereus","High school diploma",1233.9
"Aonyx_cinereus2","High school diploma",1212.6
"Aquila_chrysaetos","High school diploma",1568.5
"Ara_ararauna","High school diploma",1277.1
"Ara_chloropterus","High school diploma",1156.7
"Arctocephalus forsteri","High school diploma",1566
"Arctocephalus_forsteri2","High school diploma",1295.7
"Artibeus_planirostris","High school diploma",1564.3
"Asio_flammeus","High school diploma",1393.7
"Ateles_hybridus","High school diploma",1390.4
"Ateles_paniscus","High school diploma",1290.7
"Athene_noctua","High school diploma",1294.3
"Athene_noctua2","High school diploma",1153.9
"Athene_noctua3","High school diploma",1318.5
"Balaeniceps_rex","High school diploma",1545.5
"Bison_bonasus","High school diploma",1787.2
"Bison_bonasus2","High school diploma",1604.5
"Boa_constrictor","High school diploma",1864.8
"Bubo_bubo","High school diploma",1271.9
"Bubo_bubo2","High school diploma",1265.8
"Bubo_scandiacus","High school diploma",1315
"Bufonidae","High school diploma",1492.7
"Buprestidae","High school diploma",1765.4
"Buteo_galapagoensis","High school diploma",1580.2
"Cairina_moschata","High school diploma",1539.7
"Calliphora_vomitoria","High school diploma",1638.6
"Callithrix_argentata","High school diploma",1431.8
"Callithrix_penicillata","High school diploma",1281.1
"Calloselasma rhodostoma","High school diploma",1731.9
"Canis_lupus","High school diploma",1619
"Canis_lupus_familiaris","High school diploma",1366.5
"Canis_lupus_familiaris2","High school diploma",1255.6
"Carlito_syrichta","High school diploma",1321
