"Name","Academic","EloScore","EloRank"
"Centurio_senex","High school diploma",1639.2,175
"Cerdocyon_thous","High school diploma",1373.4,67
"Chelonoidis_porteri","High school diploma",1299.8,48
"Choloepus_didactylus","High school diploma",1372.5,64
"Choloepus_didactylus2","High school diploma",1301.8,21
"Choloepus_didactylus3","High school diploma",1376.3,63
"Chroicocephalus_scopulinus","High school diploma",1308.4,47
"Columba_livia","High school diploma",1186.7,15
"Conolophus_pallidus","High school diploma",1737.9,184
"Corvus","High school diploma",1466.5,117
"Corvus2","High school diploma",1384.4,46
"Crocodylus_porosus","High school diploma",1811,217
"Crocuta_crocuta","High school diploma",1698.7,186
"Crotalus_atrox","High school diploma",1683,168
"Crotalus2","High school diploma",1840,214
"Cryptoprocto _ferox","High school diploma",1518.8,119
"Cynictis_penicillata","High school diploma",1493.5,114
"Dasypus_novemcinctus","High school diploma",1480,82
"Daubentonia_madagascariensis","High school diploma",1578.5,133
"Dendroaspis_angusticeps","High school diploma",1728.2,187
"Desmodus_rotondus","High school diploma",1605.1,161
"Didelphis_virginiana","High school diploma",1478,95
"Equus_caballus","High school diploma",1214.9,19
"Eudyptes chrysolophus","High school diploma",1230.6,20
"Eudyptes_chrysocome","High school diploma",1441.8,79
"Eulemur _coronatus","High school diploma",1351.3,51
"Eulemur _coronatus2","High school diploma",1328.2,66
"Euphractus _sexcinctus","High school diploma",1482.7,126
"Evarcha_arcuata","High school diploma",1759.3,197
"Felis_catus","High school diploma",1248.3,22
"Felis_silvestris","High school diploma",1131.8,8
"Geronticus_eremita","High school diploma",1433.5,75
"Giraffa_camelopardalis_reticulata","High school diploma",1375.9,38
"Gorilla_Gorilla_Beringei","High school diploma",1611.9,139
"Gorilla_gorilla_gorilla","High school diploma",1639.9,171
"Gulo_gulo","High school diploma",1397.8,57
"Gulo_gulo2","High school diploma",1507.8,110
"Gymnogyps_californianus","High school diploma",1594,137
"Gypaetus_barbatus","High school diploma",1487.3,103
"Gypaetus_barbatus2","High school diploma",1551.6,130
"Gyps_rueppelli","High school diploma",1629.7,138
"Haematopus_ater","High school diploma",1351.3,73
"Harpia_Harpyja","High school diploma",1485.5,112
"Helarctos_malayanus","High school diploma",1577.9,146
"Hemicentetes_semispinosus","High school diploma",1574.3,132
"Heterocephalus_glaber","High school diploma",1581.2,150
"Hippopotamus_amphibius","High school diploma",1637.3,170
"Hyaena_hyaena","High school diploma",1698.2,183
"Hyles_euphorbiae","High school diploma",1609.1,157
"Hylobates_agilis","High school diploma",1497.5,99
"Hypsignathus_monstrosus","High school diploma",1761.2,195
"Iguana_iguana","High school diploma",1547,135
"Iguana_iguana2","High school diploma",1564.4,141
"Incilius_alvarius","High school diploma",1484,121
"Incilius_alvarius2","High school diploma",1429.1,77
"Intellagama_lesueurii","High school diploma",1574.6,156
"Laticauda_laticaudata","High school diploma",1773.4,194
"Laticauda_saintgironsi","High school diploma",1788.3,205
"Lemur_catta","High school diploma",1458.2,84
"Lemur_catta2","High school diploma",1369.9,50
"Leopardus_wiedii","High school diploma",1465,78
"Leptailurus_serval","High school diploma",1457.7,116
"Leptoptilos_crumenifer","High school diploma",1634.7,180
"Libellula_quadrimaculata","High school diploma",1554.6,129
"Litoria_infrafrenata","High school diploma",1386.7,68
"Loris_tardigradus","High school diploma",1095.3,6
"Loxodonta_africana","High school diploma",1496.1,80
"Lycaon_pictus","High school diploma",1742.4,189
"Lycaon_pictus2","High school diploma",1797.4,206
"Lynx_rufus","High school diploma",1620.3,167
"Lynx_rufus2","High school diploma",1618.1,152
"Macaca_fuscata","High school diploma",1508.8,102
"Macaca_silenus","High school diploma",1426.4,88
"Macronectes_halli","High school diploma",1657.4,158
"Macropus_rufogriseus","High school diploma",1447.4,93
"Malayopython_reticulatus","High school diploma",1797.4,201
"Malpolon_monspessulanus","High school diploma",1751.4,209
"Mandrillus_sphinx","High school diploma",1690.5,160
"Mandrillus_sphinx2","High school diploma",1472.3,101
"Miopithecus_ogouensis","High school diploma",1322.8,53
"Morelia_spilota","High school diploma",1694.1,190
"Mungos_mungo","High school diploma",1700.7,181
"Muscardinus_avellanarius","High school diploma",1084.4,9
"Mygale","High school diploma",1779.1,192
"Myocastor_coypus","High school diploma",1302.6,41
"Naja_naja","High school diploma",1759.9,208
"Nasua_narica","High school diploma",1597.6,113
"Nasua_nasua","High school diploma",1434.3,91
"Necrosyrtes_monachus","High school diploma",1453.2,81
"Neofelis_nebulosa","High school diploma",1542.4,131
"Nestor_meridionalis","High school diploma",1297.5,40
"Notechis_scutatus","High school diploma",1769.8,198
"Numida_meleagris","High school diploma",1481,104
"Nyctereutes_procyonoides","High school diploma",1435.8,86
"Odonata","High school diploma",1531.8,111
"Odonata2","High school diploma",1486.4,108
"Oryctolagus_cuniculus","High school diploma",1059.1,5
"Oryctolagus_cuniculus2","High school diploma",952.4,1
"Otocolobus_manul","High school diploma",1562.9,145
"Pamphagidae","High school diploma",1588.1,143
"Pan_paniscus","High school diploma",1404.2,42
"Pan_paniscus2","High school diploma",1526.7,71
"Pan_paniscus3","High school diploma",1374.2,85
"Pan_paniscus4","High school diploma",1279.1,25
"Pan_troglodytes","High school diploma",1429.2,97
"Pan_troglodytes2","High school diploma",1265.1,24
"Panthera_leo","High school diploma",1731.2,200
"Panthera_leo2","High school diploma",1586.4,153
"Panthera_leo3","High school diploma",1606.5,173
"Panthera_onca","High school diploma",1805.2,199
