"Name","Academic","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Spheniscus_humboldti","PhD and more",1248.4,28,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Bubo_bubo","High school + Middle school",1285.8,29,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Ailurops_ursinus","High school diploma",1213.8,29,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Muscardinus_avellanarius","Kindergarten + Primary school",1373,29,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"Asio_flammeus","Master's degree",1259.3,29,"Asio_flammeus","Bird","Raptor","No","Yes","No"
"Spheniscus_humboldti","One/two/three-year technical/university degree",1214.7,29,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Agalychnis_callidryas","Other",1301.9,29,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No"
"Eudyptes chrysolophus","PhD and more",1238.7,29,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No"
"Spheniscus_humboldti","High school + Middle school",1290.5,30,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Canis_lupus_familiaris2","High school diploma",1255.6,30,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Oryctolagus_cuniculus","Kindergarten + Primary school",1379.7,30,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Pan_troglodytes2","Master's degree",1313.1,30,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Ailurus_fulgens","One/two/three-year technical/university degree",1284.6,30,"Ailurus_fulgens","Mammal","Ursus","No","No","No"
"Callithrix_penicillata","Other",1341.7,30,"Callithrix_penicillata","Mammal","Primate","No","No","No"
"Bubo_bubo","PhD and more",1255.4,30,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Psittacus_erithacus","High school + Middle school",1337,31,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"Athene_noctua","High school diploma",1294.3,31,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No"
"Leopardus_wiedii","Kindergarten + Primary school",1398.7,31,"Leopardus_wiedii","Mammal","Felidae","No","No","No"
"Choloepus_didactylus","Master's degree",1289.2,31,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No"
"Ateles_paniscus","One/two/three-year technical/university degree",1311.4,31,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Haematopus_ater","Other",1339.2,31,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No"
"Ateles_paniscus","PhD and more",1335.1,31,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Vicugna_pacos","High school + Middle school",1314,32,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Ara_ararauna","High school diploma",1277.1,32,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No"
"Lemur_catta2","Kindergarten + Primary school",1381.5,32,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Columba_livia","Master's degree",1348.7,32,"Columba_livia","Bird","Bird (not Raptor)","No","No","No"
"Propithecus_verreauxi","One/two/three-year technical/university degree",1276,32,"Propithecus_verreauxi","Mammal","Primate","No","No","No"
"Spheniscus_humboldti","Other",1327.1,32,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Bubo_bubo2","PhD and more",1349.9,32,"Bubo_bubo","Bird","Raptor","No","Yes","No"
"Vicugna_vicugna","High school + Middle school",1310.6,33,"Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"Tapirus_indicus","High school diploma",1307.4,33,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Intellagama_lesueurii","Kindergarten + Primary school",1406.8,33,"Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"Ateles_paniscus","Master's degree",1249.3,33,"Ateles_paniscus","Mammal","Primate","No","No","No"
"Ailuropoda_melanoleuca","One/two/three-year technical/university degree",1252.7,33,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No"
"Tapirus_indicus","Other",1317.6,33,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Ailurops_ursinus","PhD and more",1263.3,33,"Ailurops_ursinus","Mammal","Marsupial","No","No","No"
"Felis_catus","High school + Middle school",1330.3,34,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Bubo_scandiacus","High school diploma",1315,34,"Bubo_scandiacus","Bird","Raptor","No","No","No"
"Panthera_onca_2","Kindergarten + Primary school",1392.5,34,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Myocastor_coypus","Master's degree",1301.6,34,"Myocastor_coypus","Mammal","Rodent","No","No","No"
