"name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Evarcha_arcuata",1620,1759.3,1529.6,1817,1766.2,1705.7,1711.2,"Evarcha_arcuata","Spider","Spider","No","Yes","No"
"Felis_catus",1330.3,1248.3,1500.1,1386.4,1427.2,1330.8,1387.1,"Felis_catus","Mammal","Felidae","No","Yes","No"
"Felis_silvestris",1282.3,1131.8,1414.4,1123.5,1154.8,1172.8,1335.7,"Felis_silvestris_","Mammal","Felidae","No","No","No"
"Geronticus_eremita",1610.4,1433.5,1539.6,1664.3,1625.4,1383.8,1466.4,"Geronticus_eremita","Bird","Bird (not Raptor)","No","Yes","No"
"Giraffa_camelopardalis_reticulata",1450,1375.9,1478.1,1171,1280.1,1253.3,1332,"Giraffa_camelopardalis_reticulata","Mammal","Ungulate","No","No","No"
"Gorilla_Gorilla_Beringei",1666.7,1611.9,1536.7,1635.6,1612.5,1557.8,1682,"Gorilla_Gorilla_Beringei","Mammal","Primate","No","No","Yes"
"Gorilla_gorilla_gorilla",1523.5,1639.9,1585.6,1666,1652.2,1604.1,1814.5,"Gorilla_Gorilla_Gorilla","Mammal","Primate","No","No","Yes"
"Gulo_gulo",1276.3,1397.8,1495.6,1570.3,1504.9,1557.3,1512.7,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2",1489.1,1507.8,1515.3,1529.8,1541,1541.5,1532.8,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gymnogyps_californianus",1555.9,1594,1623.7,1610.9,1612.5,1541.3,1603.6,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Gypaetus_barbatus",1435.1,1487.3,1531.4,1395.4,1474.7,1590.9,1554.2,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus2",1525.5,1551.6,1470.2,1548.8,1404.9,1445.7,1436.3,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gyps_rueppelli",1492.1,1629.7,1467.8,1569.6,1647.5,1510.7,1497.3,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Haematopus_ater",1520.6,1351.3,1449,1333.8,1414.9,1339.2,1190.7,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No"
