"","Name","Academic","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"104","Muscardinus_avellanarius","Other",1278.2,15,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"105","Rhinopithecus_roxellana","PhD and more",1215,15,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No","Primate"
"106","Rhinopithecus_roxellana","High school + Middle school",1254.1,16,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No","Primate"
"107","Athene_noctua2","High school diploma",1153.9,16,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"108","Litoria_infrafrenata","Kindergarten + Primary school",1338.8,16,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No","Others"
"109","Aonyx_cinereus","Master's degree",1195.2,16,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"110","Propithecus_coquereli","One/two/three-year technical/university degree",1236.1,16,"Propithecus_coquereli","Mammal","Primate","No","No","No","Primate"
"111","Ailurus_fulgens","Other",1277.6,16,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"112","Haematopus_ater","PhD and more",1190.7,16,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No","Others"
"113","Felis_silvestris","High school + Middle school",1282.3,17,"Felis_silvestris_","Mammal","Felidae","No","No","No","Felidae"
"114","Aonyx_cinereus","High school diploma",1233.9,17,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"115","Ailurus_fulgens","Kindergarten + Primary school",1341.4,17,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"116","Ara_ararauna","Master's degree",1224.5,17,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No","Others"
"117","Myocastor_coypus","One/two/three-year technical/university degree",1235.3,17,"Myocastor_coypus","Mammal","Rodent","No","No","No","Others"
"118","Trichosurus_vulpecula","Other",1302.5,17,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No","Others"
"119","Phascolarctos_cinereus","PhD and more",1177.1,17,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"120","Asio_flammeus","High school + Middle school",1256.6,18,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"121","Aepyceros_melampus","High school diploma",1235.5,18,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"122","Rattus_norvegicus","Kindergarten + Primary school",1345.9,18,"Rattus_norvegicus","Mammal","Rodent","No","No","No","Others"
"123","Loris_tardigradus","Master's degree",1197.9,18,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"124","Choloepus_didactylus3","One/two/three-year technical/university degree",1249.4,18,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"125","Athene_noctua2","Other",1273.7,18,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"126","Choloepus_didactylus","PhD and more",1192.2,18,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"127","Callithrix_argentata","High school + Middle school",1238.3,19,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"128","Equus_caballus","High school diploma",1214.9,19,"Equus_caballus","Mammal","Ungulate","No","No","No","Others"
"129","Tapirus_indicus","Kindergarten + Primary school",1345.5,19,"Tapirus_indicus","Mammal","Ungulate","No","No","No","Others"
"130","Choloepus_didactylus2","Master's degree",1213.9,19,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"131","Vicugna_vicugna","One/two/three-year technical/university degree",1238.2,19,"Vicugna_vicugna","Mammal","Ungulate","No","No","No","Others"
"132","Aonyx_cinereus2","Other",1278.6,19,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"133","Chelonoidis_porteri","PhD and more",1204,19,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"134","Eulemur _coronatus2","High school + Middle school",1291.3,20,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"135","Eudyptes chrysolophus","High school diploma",1230.6,20,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"136","Hylobates_agilis","Kindergarten + Primary school",1353.8,20,"Hylobates_agilis","Mammal","Primate","No","No","No","Primate"
"137","Suricata_suricatta","Master's degree",1275.7,20,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No","Others"
"138","Ara_chloropterus","One/two/three-year technical/university degree",1206,20,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No","Others"
"139","Macropus_rufogriseus","Other",1291.1,20,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No","Others"
"140","Rattus_norvegicus","PhD and more",1230.7,20,"Rattus_norvegicus","Mammal","Rodent","No","No","No","Others"
"141","Choloepus_didactylus","High school + Middle school",1282.7,21,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"142","Choloepus_didactylus2","High school diploma",1301.8,21,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"143","Plathyrrhinus_fusciventris","Kindergarten + Primary school",1365.6,21,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No","Others"
"144","Muscardinus_avellanarius","Master's degree",1208.7,21,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"145","Eudyptes chrysolophus","One/two/three-year technical/university degree",1204.1,21,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"146","Pan_paniscus4","Other",1289,21,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"147","Asio_flammeus","PhD and more",1243.6,21,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"148","Aepyceros_melampus2","High school + Middle school",1311.7,22,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"149","Felis_catus","High school diploma",1248.3,22,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"150","Psittacus_erithacus","Kindergarten + Primary school",1354.3,22,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No","Others"
"151","Bubo_bubo2","Master's degree",1216.6,22,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"152","Choloepus_didactylus2","One/two/three-year technical/university degree",1229.9,22,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"153","Thalassarche_cauta","Other",1293.4,22,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No","Others"
"154","Aonyx_cinereus","PhD and more",1322.3,22,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"155","Phascolarctos_cinereus","High school + Middle school",1283.5,23,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"156","Spheniscus_humboldti","High school diploma",1242.7,23,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No","Others"
"157","Eudyptes chrysolophus","Kindergarten + Primary school",1357.6,23,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No","Others"
