;Name_2;Species;Group;Subgroup;Predator of primates;Predator;Dangerous
97;Iguana_iguana2 ;Iguana_iguana;Squamata;Lizard;No;No;No
98;Incilius_alvarius ;Incilius_alvarius;Squamata;Amphibia;No;Yes;No
99;Incilius_alvarius2 ;Incilius_alvarius;Squamata;Amphibia;No;Yes;No
100;Intellagama_lesueurii ;Intellagama_lesueurii;Squamata;Lizard;No;Yes;No
101;Laticauda_laticaudata ;Laticauda_laticaudata;Squamata;Snake;No;Yes;No
102;Laticauda_saintgironsi ;Laticauda_saintgironsi;Squamata;Snake;No;Yes;No
103;Lemur_catta ;Lemur_catta;Mammal;Primate;No;Yes;No
104;Lemur_catta2 ;Lemur_catta;Mammal;Primate;No;Yes;No
105;Leopardus_wiedii ;Leopardus_wiedii;Mammal;Felidae;No;No;No
106;Leptailurus_serval ;Leptailurus_serval;Mammal;Felidae;No;Yes;No
107;Leptoptilos_crumenifer ;Leptoptilos_crumenifer;Bird;Bird (not Raptor);No;No;No
108;Libellula_quadrimaculata ;Libellula_quadrimaculata;Insect;Odonata;No;Yes;No
109;Litoria_infrafrenata ;Litoria_infrafrenata;Squamata;Amphibia;No;Yes;No
110;Loris_tardigradus ;Loris_tardigradus;Mammal;Primate;No;No;No
111;Loxodonta_africana ;Loxodonta_africana;Mammal;Ungulate;No;No;Yes
112;Lycaon_pictus ;Lycaon_pictus;Mammal;Canidae;Yes;Yes;Yes
113;Lycaon_pictus2 ;Lycaon_pictus;Mammal;Canidae;Yes;Yes;Yes
114;Lynx_rufus ;Lynx_rufus;Mammal;Felidae;No;Yes;No
115;Lynx_rufus2 ;Lynx_rufus;Mammal;Felidae;No;Yes;No
116;Macaca_fuscata ;Macaca_fuscata;Mammal;Primate;No;Yes;No
117;Macaca_silenus ;Macaca_silenus;Mammal;Primate;No;Yes;No
118;Macronectes_halli ;Macronectes_halli;Bird;Bird (not Raptor);No;No;No
119;Macropus_rufogriseus ;Macropus_rufogriseus;Mammal;Marsupial;No;No;No
120;Malayopython_reticulatus ;Malayopython_reticulatus;Squamata;Snake;Yes;Yes;Yes
121;Malpolon_monspessulanus ;Malpolon_monspessulanus;Squamata;Snake;No;Yes;No
122;Mandrillus_sphinx ;Mandrillus_sphinx;Mammal;Primate;No;No;Yes
123;Mandrillus_sphinx2 ;Mandrillus_sphinx;Mammal;Primate;No;No;Yes
124;Miopithecus_ogouensis ;Miopithecus_ogouensis;Mammal;Primate;No;No;No
125;Morelia_spilota ;Morelia_spilota;Squamata;Snake;No;Yes;No
126;Mungos_mungo ;Mungos_mungo;Mammal;Mongoose;No;Yes;No
127;Muscardinus_avellanarius ;Muscardinus_avellanarius;Mammal;Rodent;No;No;No
128;Mygale ;Mygale;Spider;Spider;No;Yes;No
129;Myocastor_coypus ;Myocastor_coypus;Mammal;Rodent;No;No;No
130;Naja_naja ;Naja_naja;Squamata;Snake;No;Yes;Yes
131;Nasua_narica ;Nasua_narica;Mammal;Procyonide;No;No;No
132;Nasua_nasua ;Nasua_nasua;Mammal;Procyonide;No;No;No
