"name","F","M","Not mentioned"
"Pholcus_phalangioides",1915.5,1832.6,1630.3
"Pithecia pithecia",1538.3,1496.4,1506.3
"Pithecia pithecia2",1590.1,1467.8,1458.7
"Plathyrrhinus_fusciventris",1550.5,1567.3,1423.2
"Podarcis_muralis",1702.5,1589.4,1478.6
"Pogona_vitticeps",1498.8,1451.8,1515.7
"Porphyrio_hochstetteri",1543.7,1473.5,1376.6
"Procyon_lotor",1381.9,1454.9,1397.1
"Propithecus_coquereli",1222,1293.5,1384.8
"Propithecus_verreauxi",1331.8,1351.7,1398.7
"Psittacus_erithacus",1308.1,1290.1,1537.5
"Pteropus_conspicillatus",1313,1436.4,1496.1
"Puma_concolor",1711.2,1713.1,1607.3
"Python_bivittatus",1861.2,1771.9,1593.3
"Python_regius",1731.6,1799.7,1592.3
"Rattus_norvegicus",1339.4,1418,1391.7
"Rhinopithecus_roxellana",1299.8,1290.8,1451.8
"Rhyticeros_cassidix",1397.9,1464.8,1340
"Romalea_microptera",1528.2,1409.4,1545.1
"Saiga_tatarica",1553.1,1466,1554.4
"Sarcophilus_harrisii",1601.7,1557.8,1695.9
"Spalax",1567.3,1551.8,1343.3
"Spheniscus_humboldti",1244.9,1182.9,1402.6
"Stephanoaetus_coronatus",1537.2,1496.1,1504.1
"Strophurus",1539.3,1442.2,1507.6
"Struthio_camelus",1566.5,1565.1,1622.9
"Sula_nebouxii",1520.5,1391.5,1550.4
"Sula_sula",1426.1,1509.8,1428.1
"Suricata_suricatta",1293,1328.8,1455
"Sus_scrofa",1525.4,1579.5,1656.1
"Tapirus_indicus",1394.6,1369.2,1468.5
"Taricha_torosa",1442.7,1517.7,1526.8
"Tauraco_leucotis",1207.8,1117.8,1451.3
"Testudo_hermanni",1127.6,1131.5,1390.9
"Thalassarche_cauta",1591.6,1427.1,1647.7
"Theropithecus_gelada",1668.2,1783.1,1554.1
"Thomisus_onustus",1713.1,1674.5,1519.9
"Tockus_flavirostris",1590.8,1409.8,1544
"Trichosurus_vulpecula",1535.6,1385.6,1385.1
"Ursus_arctos_horribilis",1676.5,1765.3,1621.5
"Ursus_maritimus",1655.1,1751.4,1548.2
"Ursus_thibetanus",1738.9,1764.3,1584.9
"Varecia_rubra",1470.8,1411.9,1468.9
"Varecia_variegata",1473.3,1341.5,1410.3
"Vespula_germanica",1675.4,1692.9,1560.3
"Vicugna_pacos",1242.6,1350.5,1501.1
"Vicugna_pacos2",1286.2,1315.6,1386.9
"Vicugna_vicugna",1184.6,1194.9,1482.9
"Vipera_ammodytes",1856.1,1833.3,1618.4
"Vipera_aspis",1817.6,1806.6,1634.2
"Vulpes_zerda",1285.3,1271.8,1368.2
"Zamenis_longissimus",1796.1,1726.6,1412.1
"Zoropsis_spinimana",1774.7,1794.3,1544.2
