Name2;Species;Group;Subgroup;PredatorPrimates;Predator;Dangerous
Macropus_rufogriseus ;Macropus_rufogriseus;Mammal;Marsupial;No;No;No
Malayopython_reticulatus ;Malayopython_reticulatus;Squamata;Snake;Yes;Yes;Yes
Malpolon_monspessulanus ;Malpolon_monspessulanus;Squamata;Snake;No;Yes;No
Mandrillus_sphinx ;Mandrillus_sphinx;Mammal;Primate;No;No;Yes
Mandrillus_sphinx2 ;Mandrillus_sphinx;Mammal;Primate;No;No;Yes
Miopithecus_ogouensis ;Miopithecus_ogouensis;Mammal;Primate;No;No;No
Morelia_spilota ;Morelia_spilota;Squamata;Snake;No;Yes;No
Mungos_mungo ;Mungos_mungo;Mammal;Mongoose;No;Yes;No
Muscardinus_avellanarius ;Muscardinus_avellanarius;Mammal;Rodent;No;No;No
Mygale ;Mygale;Spider;Spider;No;Yes;No
Myocastor_coypus ;Myocastor_coypus;Mammal;Rodent;No;No;No
Naja_naja ;Naja_naja;Squamata;Snake;No;Yes;Yes
Nasua_narica ;Nasua_narica;Mammal;Procyonide;No;No;No
Nasua_nasua ;Nasua_nasua;Mammal;Procyonide;No;No;No
Necrosyrtes_monachus ;Necrosyrtes_monachus;Bird;Raptor;No;No;No
Neofelis_nebulosa ;Neofelis_nebulosa;Mammal;Felidae;Yes;No;Yes
Nestor_meridionalis ;Nestor_meridionalis;Bird;Bird (not Raptor);No;No;No
Notechis_scutatus ;Notechis_scutatus;Squamata;Snake;No;Yes;Yes
Numida_meleagris ;Numida_meleagris;Bird;Bird (not Raptor);No;No;No
Nyctereutes_procyonoides ;Nyctereutes_procyonoides;Mammal;Canidae;No;Yes;No
Odonata ;Odonata;Insect;Odonata;No;Yes;No
Odonata2 ;Odonata;Insect;Odonata;No;Yes;No
Oryctolagus_cuniculus ;Oryctolagus_cuniculus;Mammal;Lagomorpha;No;No;No
Oryctolagus_cuniculus2 ;Oryctolagus_cuniculus;Mammal;Lagomorpha;No;No;No
Otocolobus_manul ;Otocolobus_manul;Mammal;Felidae;No;Yes;No
Pamphagidae ;Pamphagidae;Insect;Orthoptere;No;No;No
Pan_paniscus ;Pan_panisucs;Mammal;Primate;No;Yes;No
Pan_paniscus2 ;Pan_panisucs;Mammal;Primate;No;Yes;No
Pan_paniscus3 ;Pan_panisucs;Mammal;Primate;No;Yes;No
Pan_paniscus4 ;Pan_panisucs;Mammal;Primate;No;Yes;No
Pan_troglodytes ;Pan_troglodytes;Mammal;Primate;Yes;No;Yes
Pan_troglodytes2 ;Pan_troglodytes;Mammal;Primate;Yes;No;Yes
Panthera_leo ;Panthera_leo;Mammal;Felidae;Yes;No;Yes
Panthera_leo2 ;Panthera_leo;Mammal;Felidae;Yes;No;Yes
Panthera_leo3 ;Panthera_leo;Mammal;Felidae;Yes;No;Yes
Panthera_onca ;Panthera_onca;Mammal;Felidae;Yes;No;Yes
Panthera_onca_2 ;Panthera_onca;Mammal;Felidae;Yes;No;Yes
Panthera_onca3 ;Panthera_onca;Mammal;Felidae;Yes;No;Yes
Panthera_pardus ;Panthera_pardus;Mammal;Felidae;Yes;No;Yes
Panthera_pardus_3 ;Panthera_pardus;Mammal;Felidae;Yes;No;Yes
Panthera_pardus2 ;Panthera_pardus;Mammal;Felidae;Yes;No;Yes
Panthera_tigris2 ;Panthera_tigris;Mammal;Felidae;Yes;No;Yes
Panthera_uncia ;Panthera_uncia;Mammal;Felidae;Yes;No;Yes
Papillon ;Papillon;Insect;Lepidoptera;No;No;No
Papio_hamadryas ;Papio_hamadryas;Mammal;Primate;No;No;No
Pardofelis_temminckii ;Pardofelis_temminckii;Mammal;Felidae;Yes;Yes;No
Petroica_macrocephala ;Petroica_macrocephala;Bird;Bird (not Raptor);No;No;No
Phacochoerus_africanus ;Phacochoerus_africanus;Mammal;Ungulate;No;No;No
Phascolarctos_cinereus ;Phascolarctos_cinereus;Mammal;Marsupial;No;No;No
Phascolarctos_cinereus2 ;Phascolarctos_cinereus;Mammal;Marsupial;No;No;No
Pholcus_phalangioides ;Pholcus_phalangioides;Spider;Spider;No;Yes;No
Pithecia pithecia ;Pithecia_pithecia;Mammal;Primate;No;No;No
Pithecia pithecia2 ;Pithecia_pithecia;Mammal;Primate;No;No;No
