"Name","Age","EloScore","EloRank"
"Propithecus_coquereli","- 30 years old",1331.6,28
"Propithecus_verreauxi","- 30 years old",1318.7,33
"Psittacus_erithacus","- 30 years old",1276.2,30
"Pteropus_conspicillatus","- 30 years old",1439.3,76
"Puma_concolor","- 30 years old",1706.3,179
"Python_bivittatus","- 30 years old",1724,195
"Python_regius","- 30 years old",1724,197
"Rattus_norvegicus","- 30 years old",1277.1,49
"Rhinopithecus_roxellana","- 30 years old",1286.7,20
"Rhyticeros_cassidix","- 30 years old",1486.2,96
"Romalea_microptera","- 30 years old",1473.4,89
"Saiga_tatarica","- 30 years old",1471.7,119
"Sarcophilus_harrisii","- 30 years old",1557.4,127
"Spalax","- 30 years old",1573.6,130
"Spheniscus_humboldti","- 30 years old",1175.6,11
"Stephanoaetus_coronatus","- 30 years old",1550.4,128
"Strophurus","- 30 years old",1580.2,126
"Struthio_camelus","- 30 years old",1585.4,159
"Sula_nebouxii","- 30 years old",1456.4,86
"Sula_sula","- 30 years old",1414.4,79
"Suricata_suricatta","- 30 years old",1225.5,22
"Sus_scrofa","- 30 years old",1535.7,145
"Tapirus_indicus","- 30 years old",1382.3,54
"Taricha_torosa","- 30 years old",1489.8,91
"Tauraco_leucotis","- 30 years old",1223.4,24
"Testudo_hermanni","- 30 years old",1159.9,6
"Thalassarche_cauta","- 30 years old",1569.7,114
"Theropithecus_gelada","- 30 years old",1713.4,206
"Thomisus_onustus","- 30 years old",1691.3,198
"Tockus_flavirostris","- 30 years old",1570.2,147
"Trichosurus_vulpecula","- 30 years old",1480.8,129
"Ursus_arctos_horribilis","- 30 years old",1715.6,180
"Ursus_maritimus","- 30 years old",1579.5,116
"Ursus_thibetanus","- 30 years old",1749.6,212
"Varecia_rubra","- 30 years old",1464.2,90
"Varecia_variegata","- 30 years old",1469.1,78
"Vespula_germanica","- 30 years old",1640.8,158
"Vicugna_pacos","- 30 years old",1386.1,34
"Vicugna_pacos2","- 30 years old",1343.2,29
"Vicugna_vicugna","- 30 years old",1203.6,8
"Vipera_ammodytes","- 30 years old",1752,199
"Vipera_aspis","- 30 years old",1800.2,216
"Vulpes_zerda","- 30 years old",1275.5,43
"Zamenis_longissimus","- 30 years old",1689.3,204
"Zoropsis_spinimana","- 30 years old",1687.1,181
"Acinonyx_jubatus","+ 30 years old",1620,164
"Acinonyx_jubatus2","+ 30 years old",1752.8,184
"Acryllium_vulturinum","+ 30 years old",1480.8,115
"Aepyceros_melampus","+ 30 years old",1391.3,58
"Aepyceros_melampus2","+ 30 years old",1222.5,29
"Agalychnis_callidryas","+ 30 years old",1426.2,57
"Ailuropoda_melanoleuca","+ 30 years old",1315.3,62
"Ailurops_ursinus","+ 30 years old",1345.4,43
"Ailurus_fulgens","+ 30 years old",1221.1,18
"Alligator_mississippiensis","+ 30 years old",1943.2,220
"Amblyrhynchus_cristatus","+ 30 years old",1599.6,161
"Aonyx_cinereus","+ 30 years old",1202.3,27
"Aonyx_cinereus2","+ 30 years old",1215.8,15
"Aquila_chrysaetos","+ 30 years old",1511.2,109
"Ara_ararauna","+ 30 years old",1234.4,33
"Ara_chloropterus","+ 30 years old",1197.4,12
"Arctocephalus forsteri","+ 30 years old",1489.2,106
"Arctocephalus_forsteri2","+ 30 years old",1382.1,69
"Artibeus_planirostris","+ 30 years old",1625,151
"Asio_flammeus","+ 30 years old",1314.7,71
"Ateles_hybridus","+ 30 years old",1546.4,152
"Ateles_paniscus","+ 30 years old",1310.4,45
"Athene_noctua","+ 30 years old",1262.4,36
"Athene_noctua2","+ 30 years old",1232.6,22
"Athene_noctua3","+ 30 years old",1285.5,50
"Balaeniceps_rex","+ 30 years old",1465.4,123
"Bison_bonasus","+ 30 years old",1746.9,181
"Bison_bonasus2","+ 30 years old",1720,180
"Boa_constrictor","+ 30 years old",1821.1,201
"Bubo_bubo","+ 30 years old",1247,28
"Bubo_bubo2","+ 30 years old",1212.7,37
"Bubo_scandiacus","+ 30 years old",1268.1,19
"Bufonidae","+ 30 years old",1475.5,89
"Buprestidae","+ 30 years old",1594.8,156
"Buteo_galapagoensis","+ 30 years old",1524.8,107
"Cairina_moschata","+ 30 years old",1489.2,95
"Calliphora_vomitoria","+ 30 years old",1616.7,153
"Callithrix_argentata","+ 30 years old",1424.8,86
"Callithrix_penicillata","+ 30 years old",1469.3,73
"Calloselasma rhodostoma","+ 30 years old",1835.9,210
"Canis_lupus","+ 30 years old",1543.5,149
"Canis_lupus_familiaris","+ 30 years old",1507.1,128
