"","Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"102","Tapirus_indicus","+ 30 years old",1326.8,51,"Tapirus_indicus","Mammal","Ungulate","No","No","No","Others"
"103","Callithrix_argentata","- 30 years old",1345.5,52,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"104","Taricha_torosa","+ 30 years old",1400.9,52,"Taricha_torosa","Squamata","Amphibia","No","Yes","No","Others"
"105","Nasua_nasua","- 30 years old",1349.7,53,"Nasua_nasua","Mammal","Procyonide","No","No","No","Others"
"106","Suricata_suricatta","+ 30 years old",1342.5,53,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No","Others"
"107","Tapirus_indicus","- 30 years old",1382.3,54,"Tapirus_indicus","Mammal","Ungulate","No","No","No","Others"
"108","Eulemur _coronatus","+ 30 years old",1422.7,54,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"109","Miopithecus_ogouensis","- 30 years old",1357.1,55,"Miopithecus_ogouensis","Mammal","Primate","No","No","No","Primate"
"110","Nasua_nasua","+ 30 years old",1323.3,55,"Nasua_nasua","Mammal","Procyonide","No","No","No","Others"
"111","Athene_noctua2","- 30 years old",1353.8,56,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"112","Hylobates_agilis","+ 30 years old",1361.9,56,"Hylobates_agilis","Mammal","Primate","No","No","No","Primate"
"113","Dasypus_novemcinctus","- 30 years old",1330.6,57,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"114","Agalychnis_callidryas","+ 30 years old",1426.2,57,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"115","Procyon_lotor","- 30 years old",1360.9,58,"Procyon_lotor","Mammal","Procyonide","No","Yes","No","Others"
"116","Aepyceros_melampus","+ 30 years old",1391.3,58,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"117","Ailurops_ursinus","- 30 years old",1307.7,59,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"118","Lemur_catta2","+ 30 years old",1329.1,59,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"119","Pogona_vitticeps","- 30 years old",1391.5,60,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No","Others"
"120","Macropus_rufogriseus","+ 30 years old",1377.7,60,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No","Others"
"121","Eudyptes_chrysocome","- 30 years old",1366,61,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No","Others"
"122","Pan_paniscus4","+ 30 years old",1331.9,61,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"123","Lemur_catta2","- 30 years old",1352.3,62,"Lemur_catta","Mammal","Primate","No","Yes","No","Primate"
"124","Ailuropoda_melanoleuca","+ 30 years old",1315.3,62,"Ailuropoda_melanoleuca","Mammal","Ursus","No","No","No","Ursus"
"125","Macropus_rufogriseus","- 30 years old",1386,63,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No","Others"
"126","Vicugna_pacos2","+ 30 years old",1327.8,63,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"127","Nyctereutes_procyonoides","- 30 years old",1390.6,64,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No","Canidae"
"128","Didelphis_virginiana","+ 30 years old",1375.4,64,"Didelphis_virginiana","Mammal","Marsupial","No","No","No","Others"
"129","Athene_noctua3","- 30 years old",1415.9,65,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"130","Miopithecus_ogouensis","+ 30 years old",1376.9,65,"Miopithecus_ogouensis","Mammal","Primate","No","No","No","Primate"
"131","Nestor_meridionalis","- 30 years old",1336.8,66,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No","Others"
"132","Pteropus_conspicillatus","+ 30 years old",1360,66,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No","Others"
"133","Aepyceros_melampus","- 30 years old",1378,67,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"134","Procyon_lotor","+ 30 years old",1395.1,67,"Procyon_lotor","Mammal","Procyonide","No","Yes","No","Others"
"135","Gulo_gulo","- 30 years old",1457.2,68,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No","Others"
"136","Pan_paniscus2","+ 30 years old",1411.2,68,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"137","Eulemur _coronatus2","- 30 years old",1438.4,69,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"138","Arctocephalus_forsteri2","+ 30 years old",1382.1,69,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No","Others"
"139","Chroicocephalus_scopulinus","- 30 years old",1374.3,70,"Chroicocephalus_scopulinus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"140","Varecia_rubra","+ 30 years old",1409.9,70,"Varecia_rubra","Mammal","Primate","No","No","No","Primate"
"141","Agalychnis_callidryas","- 30 years old",1404.7,71,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"142","Asio_flammeus","+ 30 years old",1314.7,71,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"143","Leptailurus_serval","- 30 years old",1424.9,72,"Leptailurus_serval","Mammal","Felidae","No","Yes","No","Felidae"
"144","Dasypus_novemcinctus","+ 30 years old",1426,72,"Dasypus_novemcinctus","Mammal","Xenarthra","No","No","No","Others"
"145","Felis_catus","- 30 years old",1379.3,73,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"146","Callithrix_penicillata","+ 30 years old",1469.3,73,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"147","Pan_paniscus3","- 30 years old",1412.8,74,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"148","Sula_sula","+ 30 years old",1407.4,74,"Sula_sula","Bird","Bird (not Raptor)","No","Yes","No","Others"
"149","Pan_paniscus4","- 30 years old",1367.6,75,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"150","Rhyticeros_cassidix","+ 30 years old",1385.9,75,"Rhyticeros_cassidix","Bird","Bird (not Raptor)","No","No","No","Others"
"151","Pteropus_conspicillatus","- 30 years old",1439.3,76,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No","Others"
"152","Pan_paniscus3","+ 30 years old",1445.8,76,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"153","Carlito_syrichta","- 30 years old",1417.7,77,"Carlito_syrichta","Mammal","Primate","No","Yes","No","Primate"
"154","Romalea_microptera","+ 30 years old",1383.1,77,"Romalea_microptera","Insect","Orthoptere","No","No","No","Others"
"155","Varecia_variegata","- 30 years old",1469.1,78,"Varecia_variegata","Mammal","Primate","No","No","No","Primate"
"156","Felis_catus","+ 30 years old",1329,78,"Felis_catus","Mammal","Felidae","No","Yes","No","Felidae"
"157","Sula_sula","- 30 years old",1414.4,79,"Sula_sula","Bird","Bird (not Raptor)","No","Yes","No","Others"
"158","Gypaetus_barbatus","+ 30 years old",1462,79,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No","Raptor"
"159","Loxodonta_africana","- 30 years old",1386.2,80,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes","Others"
"160","Varecia_variegata","+ 30 years old",1382.1,80,"Varecia_variegata","Mammal","Primate","No","No","No","Primate"
"161","Haematopus_ater","- 30 years old",1420,81,"Haematopus_ater","Bird","Bird (not Raptor)","No","Yes","No","Others"
"162","Nasua_narica","+ 30 years old",1389.5,81,"Nasua_narica","Mammal","Procyonide","No","No","No","Others"
"163","Harpia_Harpyja","- 30 years old",1479.2,82,"Harpia_Harpyja","Bird","Raptor","Yes","No","No","Raptor"
