"name","variable","value"
"Felis_catus","- 30 years old",73
"Felis_silvestris","- 30 years old",10
"Geronticus_eremita","- 30 years old",175
"Giraffa_camelopardalis_reticulata","- 30 years old",27
"Gorilla_Gorilla_Beringei","- 30 years old",174
"Gorilla_gorilla_gorilla","- 30 years old",153
"Gulo_gulo","- 30 years old",68
"Gulo_gulo2","- 30 years old",125
"Gymnogyps_californianus","- 30 years old",162
"Gypaetus_barbatus","- 30 years old",123
"Gypaetus_barbatus2","- 30 years old",136
"Gyps_rueppelli","- 30 years old",155
"Haematopus_ater","- 30 years old",81
"Harpia_Harpyja","- 30 years old",82
"Helarctos_malayanus","- 30 years old",146
"Hemicentetes_semispinosus","- 30 years old",152
"Heterocephalus_glaber","- 30 years old",191
"Hippopotamus_amphibius","- 30 years old",183
"Hyaena_hyaena","- 30 years old",182
"Hyles_euphorbiae","- 30 years old",144
"Hylobates_agilis","- 30 years old",39
"Hypsignathus_monstrosus","- 30 years old",189
"Iguana_iguana","- 30 years old",142
"Iguana_iguana2","- 30 years old",138
"Incilius_alvarius","- 30 years old",99
"Incilius_alvarius2","- 30 years old",83
"Intellagama_lesueurii","- 30 years old",143
"Laticauda_laticaudata","- 30 years old",205
"Laticauda_saintgironsi","- 30 years old",207
"Lemur_catta","- 30 years old",45
"Lemur_catta2","- 30 years old",62
"Leopardus_wiedii","- 30 years old",107
"Leptailurus_serval","- 30 years old",72
"Leptoptilos_crumenifer","- 30 years old",111
"Libellula_quadrimaculata","- 30 years old",104
"Litoria_infrafrenata","- 30 years old",46
"Loris_tardigradus","- 30 years old",15
"Loxodonta_africana","- 30 years old",80
"Lycaon_pictus","- 30 years old",167
"Lycaon_pictus2","- 30 years old",176
"Lynx_rufus","- 30 years old",177
"Lynx_rufus2","- 30 years old",133
"Macaca_fuscata","- 30 years old",113
"Macaca_silenus","- 30 years old",140
"Macronectes_halli","- 30 years old",124
"Macropus_rufogriseus","- 30 years old",63
"Malayopython_reticulatus","- 30 years old",209
"Malpolon_monspessulanus","- 30 years old",185
"Mandrillus_sphinx","- 30 years old",164
"Mandrillus_sphinx2","- 30 years old",157
"Miopithecus_ogouensis","- 30 years old",55
"Morelia_spilota","- 30 years old",214
"Mungos_mungo","- 30 years old",101
"Muscardinus_avellanarius","- 30 years old",7
"Mygale","- 30 years old",193
"Myocastor_coypus","- 30 years old",47
"Naja_naja","- 30 years old",213
"Nasua_narica","- 30 years old",100
"Nasua_nasua","- 30 years old",53
"Necrosyrtes_monachus","- 30 years old",131
