"Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Harpia_Harpyja","- 30 years old",1479.2,82,"Harpia_Harpyja","Bird","Raptor","Yes","No","No"
"Carlito_syrichta","+ 30 years old",1405.9,82,"Carlito_syrichta","Mammal","Primate","No","Yes","No"
"Incilius_alvarius2","- 30 years old",1480.3,83,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Trichosurus_vulpecula","+ 30 years old",1432.7,83,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No"
"Eulemur _coronatus","- 30 years old",1413.9,84,"Eulemur_coronatus","Mammal","Primate","No","No","No"
"Numida_meleagris","+ 30 years old",1481,84,"Numida_meleagris","Bird","Bird (not Raptor)","No","No","No"
"Corvus2","- 30 years old",1451.3,85,"Corvus","Bird","Bird (not Raptor)","No","No","No"
"Euphractus _sexcinctus","+ 30 years old",1454.8,85,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"Sula_nebouxii","- 30 years old",1456.4,86,"Sula_nebouxii","Bird","Bird (not Raptor)","No","Yes","No"
"Callithrix_argentata","+ 30 years old",1424.8,86,"Callithrix_argentata","Mammal","Primate","No","No","No"
"Numida_meleagris","- 30 years old",1584.7,87,"Numida_meleagris","Bird","Bird (not Raptor)","No","No","No"
"Corvus2","+ 30 years old",1363.1,87,"Corvus","Bird","Bird (not Raptor)","No","No","No"
"Euphractus _sexcinctus","- 30 years old",1420.9,88,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No"
"Incilius_alvarius2","+ 30 years old",1431.2,88,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Romalea_microptera","- 30 years old",1473.4,89,"Romalea_microptera","Insect","Orthoptere","No","No","No"
"Bufonidae","+ 30 years old",1475.5,89,"Bufonidae","Squamata","Amphibia","No","Yes","No"
"Varecia_rubra","- 30 years old",1464.2,90,"Varecia_rubra","Mammal","Primate","No","No","No"
"Rattus_norvegicus","+ 30 years old",1384,90,"Rattus_norvegicus","Mammal","Rodent","No","No","No"
"Taricha_torosa","- 30 years old",1489.8,91,"Taricha_torosa","Squamata","Amphibia","No","Yes","No"
"Cynictis_penicillata","+ 30 years old",1452.5,91,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Pan_paniscus","- 30 years old",1438.5,92,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Leopardus_wiedii","+ 30 years old",1452.1,92,"Leopardus_wiedii","Mammal","Felidae","No","No","No"
"Otocolobus_manul","- 30 years old",1502,93,"Otocolobus_manul","Mammal","Felidae","No","Yes","No"
"Pan_paniscus","+ 30 years old",1428.9,93,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Corvus","- 30 years old",1471.2,94,"Corvus","Bird","Bird (not Raptor)","No","No","No"
"Porphyrio_hochstetteri","+ 30 years old",1414.1,94,"Porphyrio_hochstetteri","Bird","Bird (not Raptor)","No","No","No"
"Didelphis_virginiana","- 30 years old",1555.9,95,"Didelphis_virginiana","Mammal","Marsupial","No","No","No"
"Cairina_moschata","+ 30 years old",1489.2,95,"Cairina_moschata","Bird","Bird (not Raptor)","No","Yes","No"
"Rhyticeros_cassidix","- 30 years old",1486.2,96,"Rhyticeros_cassidix","Bird","Bird (not Raptor)","No","No","No"
"Cerdocyon_thous","+ 30 years old",1348.8,96,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No"
"Pardofelis_temminckii","- 30 years old",1533.7,97,"Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No"
"Gypaetus_barbatus2","+ 30 years old",1521,97,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Canis_lupus_familiaris","- 30 years old",1449.6,98,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes"
"Strophurus","+ 30 years old",1495.3,98,"Strophurus_","Squamata","Lizard","No","Yes","No"
"Incilius_alvarius","- 30 years old",1460.2,99,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Incilius_alvarius","+ 30 years old",1441.6,99,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Nasua_narica","- 30 years old",1426.9,100,"Nasua_narica","Mammal","Procyonide","No","No","No"
"Nyctereutes_procyonoides","+ 30 years old",1383.7,100,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No"
"Mungos_mungo","- 30 years old",1510.8,101,"Mungos_mungo","Mammal","Mongoose","No","Yes","No"
"Thalassarche_cauta","+ 30 years old",1510,101,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No"
"Aquila_chrysaetos","- 30 years old",1533.2,102,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Hemicentetes_semispinosus","+ 30 years old",1478.3,102,"Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No"
"Pan_paniscus2","- 30 years old",1504.3,103,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Leptailurus_serval","+ 30 years old",1520.5,103,"Leptailurus_serval","Mammal","Felidae","No","Yes","No"
"Libellula_quadrimaculata","- 30 years old",1518.7,104,"Libellula_quadrimaculata","Insect","Odonata","No","Yes","No"
"Sula_nebouxii","+ 30 years old",1444.1,104,"Sula_nebouxii","Bird","Bird (not Raptor)","No","Yes","No"
