"name","- 30 years old","+ 30 years old","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Hippopotamus_amphibius",1658.1,1678.3,"Hippopotamus_amphibius","Mammal","Ungulate","No","No","Yes"
"Hyaena_hyaena",1727.9,1790.2,"Hyaena_hyaena","Mammal","Hyenidae","Yes","No","Yes"
"Hyles_euphorbiae",1560.2,1554.6,"Hyles_euphorbiae","Insect","Lepidoptera","No","No","No"
"Hylobates_agilis",1351.5,1361.9,"Hylobates_agilis","Mammal","Primate","No","No","No"
"Hypsignathus_monstrosus",1674.8,1572.2,"Hypsignathus_monstrosu","Mammal","Chiroptera","No","No","No"
"Iguana_iguana",1536.3,1688.2,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Iguana_iguana2",1622.7,1536.4,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Incilius_alvarius",1460.2,1441.6,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Incilius_alvarius2",1480.3,1431.2,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Intellagama_lesueurii",1505.1,1556.8,"Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"Laticauda_laticaudata",1768.5,1872.2,"Laticauda_laticaudata","Squamata","Snake","No","Yes","No"
"Laticauda_saintgironsi",1806,1833.5,"Laticauda_saintgironsi","Squamata","Snake","No","Yes","No"
"Lemur_catta",1268.1,1320.7,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Lemur_catta2",1352.3,1329.1,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Leopardus_wiedii",1430.3,1452.1,"Leopardus_wiedii","Mammal","Felidae","No","No","No"
"Leptailurus_serval",1424.9,1520.5,"Leptailurus_serval","Mammal","Felidae","No","Yes","No"
"Leptoptilos_crumenifer",1512.2,1528.2,"Leptoptilos_crumenifer","Bird","Bird (not Raptor)","No","No","No"
"Libellula_quadrimaculata",1518.7,1589.9,"Libellula_quadrimaculata","Insect","Odonata","No","Yes","No"
"Litoria_infrafrenata",1403.2,1348.1,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No"
"Loris_tardigradus",1249.5,1182.2,"Loris_tardigradus","Mammal","Primate","No","No","No"
"Loxodonta_africana",1386.2,1544.8,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes"
"Lycaon_pictus",1637.9,1700.8,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Lycaon_pictus2",1715.8,1697,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Lynx_rufus",1582.3,1653.4,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Lynx_rufus2",1572.2,1606.5,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Macaca_fuscata",1512.8,1553.4,"Macaca_fuscata","Mammal","Primate","No","Yes","No"
"Macaca_silenus",1535.9,1524.8,"Macaca_silenus","Mammal","Primate","No","Yes","No"
"Macronectes_halli",1548.4,1593.8,"Macronectes_halli","Bird","Bird (not Raptor)","No","No","No"
"Macropus_rufogriseus",1386,1377.7,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No"
"Malayopython_reticulatus",1813.9,1845.9,"Malayopython_reticulatus","Squamata","Snake","Yes","Yes","Yes"
"Malpolon_monspessulanus",1713.9,1755.8,"Malpolon_monspessulanus","Squamata","Snake","No","Yes","No"
"Mandrillus_sphinx",1646.9,1694.9,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Mandrillus_sphinx2",1646.4,1604.8,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Miopithecus_ogouensis",1357.1,1376.9,"Miopithecus_ogouensis","Mammal","Primate","No","No","No"
"Morelia_spilota",1822.4,1760.4,"Morelia_spilota","Squamata","Snake","No","Yes","No"
"Mungos_mungo",1510.8,1542.9,"Mungos_mungo","Mammal","Mongoose","No","Yes","No"
"Muscardinus_avellanarius",1126.1,1194.6,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"Mygale",1814.9,1704.7,"Mygale","Spider","Spider","No","Yes","No"
"Myocastor_coypus",1273.5,1268.2,"Myocastor_coypus","Mammal","Rodent","No","No","No"
"Naja_naja",1816.6,1983.8,"Naja_naja","Squamata","Snake","No","Yes","Yes"
"Nasua_narica",1426.9,1389.5,"Nasua_narica","Mammal","Procyonide","No","No","No"
"Nasua_nasua",1349.7,1323.3,"Nasua_nasua","Mammal","Procyonide","No","No","No"
"Necrosyrtes_monachus",1491.8,1488.5,"Necrosyrtes_monachus","Bird","Raptor","No","No","No"
"Neofelis_nebulosa",1570.6,1664.6,"Neofelis_nebulosa","Mammal","Felidae","Yes","No","Yes"
"Nestor_meridionalis",1336.8,1302.2,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No"
"Notechis_scutatus",1744.6,1859.6,"Notechis_scutatus","Squamata","Snake","No","Yes","Yes"
"Numida_meleagris",1584.7,1481,"Numida_meleagris","Bird","Bird (not Raptor)","No","No","No"
