"name","- 30 years old","+ 30 years old"
"Thomisus_onustus",1691.3,1700.3
"Tockus_flavirostris",1570.2,1473.4
"Trichosurus_vulpecula",1480.8,1432.7
"Ursus_arctos_horribilis",1715.6,1754.7
"Ursus_maritimus",1579.5,1729.6
"Ursus_thibetanus",1749.6,1683
"Varecia_rubra",1464.2,1409.9
"Varecia_variegata",1469.1,1382.1
"Vespula_germanica",1640.8,1668.1
"Vicugna_pacos",1386.1,1385.5
"Vicugna_pacos2",1343.2,1327.8
"Vicugna_vicugna",1203.6,1159.5
"Vipera_ammodytes",1752,1872.5
"Vipera_aspis",1800.2,1820.4
"Vulpes_zerda",1275.5,1296.4
"Zamenis_longissimus",1689.3,1787.7
"Zoropsis_spinimana",1687.1,1786.2
