"name","variable","value"
"Thomisus_onustus","- 30 years old",1691.3
"Tockus_flavirostris","- 30 years old",1570.2
"Trichosurus_vulpecula","- 30 years old",1480.8
"Ursus_arctos_horribilis","- 30 years old",1715.6
"Ursus_maritimus","- 30 years old",1579.5
"Ursus_thibetanus","- 30 years old",1749.6
"Varecia_rubra","- 30 years old",1464.2
"Varecia_variegata","- 30 years old",1469.1
"Vespula_germanica","- 30 years old",1640.8
"Vicugna_pacos","- 30 years old",1386.1
"Vicugna_pacos2","- 30 years old",1343.2
"Vicugna_vicugna","- 30 years old",1203.6
"Vipera_ammodytes","- 30 years old",1752
"Vipera_aspis","- 30 years old",1800.2
"Vulpes_zerda","- 30 years old",1275.5
"Zamenis_longissimus","- 30 years old",1689.3
"Zoropsis_spinimana","- 30 years old",1687.1
"Acinonyx_jubatus","+ 30 years old",1620
"Acinonyx_jubatus2","+ 30 years old",1752.8
"Acryllium_vulturinum","+ 30 years old",1480.8
"Aepyceros_melampus","+ 30 years old",1391.3
"Aepyceros_melampus2","+ 30 years old",1222.5
"Agalychnis_callidryas","+ 30 years old",1426.2
"Ailuropoda_melanoleuca","+ 30 years old",1315.3
"Ailurops_ursinus","+ 30 years old",1345.4
"Ailurus_fulgens","+ 30 years old",1221.1
"Alligator_mississippiensis","+ 30 years old",1943.2
"Amblyrhynchus_cristatus","+ 30 years old",1599.6
"Aonyx_cinereus","+ 30 years old",1202.3
"Aonyx_cinereus2","+ 30 years old",1215.8
"Aquila_chrysaetos","+ 30 years old",1511.2
"Ara_ararauna","+ 30 years old",1234.4
"Ara_chloropterus","+ 30 years old",1197.4
"Arctocephalus forsteri","+ 30 years old",1489.2
"Arctocephalus_forsteri2","+ 30 years old",1382.1
"Artibeus_planirostris","+ 30 years old",1625
"Asio_flammeus","+ 30 years old",1314.7
"Ateles_hybridus","+ 30 years old",1546.4
"Ateles_paniscus","+ 30 years old",1310.4
"Athene_noctua","+ 30 years old",1262.4
"Athene_noctua2","+ 30 years old",1232.6
"Athene_noctua3","+ 30 years old",1285.5
"Balaeniceps_rex","+ 30 years old",1465.4
"Bison_bonasus","+ 30 years old",1746.9
"Bison_bonasus2","+ 30 years old",1720
"Boa_constrictor","+ 30 years old",1821.1
"Bubo_bubo","+ 30 years old",1247
"Bubo_bubo2","+ 30 years old",1212.7
"Bubo_scandiacus","+ 30 years old",1268.1
"Bufonidae","+ 30 years old",1475.5
"Buprestidae","+ 30 years old",1594.8
"Buteo_galapagoensis","+ 30 years old",1524.8
"Cairina_moschata","+ 30 years old",1489.2
"Calliphora_vomitoria","+ 30 years old",1616.7
"Callithrix_argentata","+ 30 years old",1424.8
"Callithrix_penicillata","+ 30 years old",1469.3
"Calloselasma rhodostoma","+ 30 years old",1835.9
"Canis_lupus","+ 30 years old",1543.5
"Canis_lupus_familiaris","+ 30 years old",1507.1
"Canis_lupus_familiaris2","+ 30 years old",1276.5
"Carlito_syrichta","+ 30 years old",1405.9
"Centurio_senex","+ 30 years old",1720.9
"Cerdocyon_thous","+ 30 years old",1348.8
"Chelonoidis_porteri","+ 30 years old",1254.1
"Choloepus_didactylus","+ 30 years old",1261.2
"Choloepus_didactylus2","+ 30 years old",1205.7
"Choloepus_didactylus3","+ 30 years old",1345
