"","Name","EloScore","EloRank","Name2","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"98","Incilius_alvarius",1479.78,100,"Incilius_alvarius ","Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"99","Incilius_alvarius2",1474.31,98,"Incilius_alvarius2 ","Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"100","Intellagama_lesueurii",1574.38,146,"Intellagama_lesueurii ","Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"101","Laticauda_laticaudata",1811.3,209,"Laticauda_laticaudata ","Laticauda_laticaudata","Squamata","Snake","No","Yes","No"
"102","Laticauda_saintgironsi",1836.66,214,"Laticauda_saintgironsi ","Laticauda_saintgironsi","Squamata","Snake","No","Yes","No"
"103","Lemur_catta",1300.19,36,"Lemur_catta ","Lemur_catta","Mammal","Primate","No","Yes","No"
"104","Lemur_catta2",1346.21,51,"Lemur_catta2 ","Lemur_catta","Mammal","Primate","No","Yes","No"
"105","Leopardus_wiedii",1469.59,93,"Leopardus_wiedii ","Leopardus_wiedii","Mammal","Felidae","No","No","No"
"106","Leptailurus_serval",1443.46,86,"Leptailurus_serval ","Leptailurus_serval","Mammal","Felidae","No","Yes","No"
"107","Leptoptilos_crumenifer",1535.5,127,"Leptoptilos_crumenifer ","Leptoptilos_crumenifer","Bird","Bird (not Raptor)","No","No","No"
"108","Libellula_quadrimaculata",1529.67,123,"Libellula_quadrimaculata ","Libellula_quadrimaculata","Insect","Odonata","No","Yes","No"
"109","Litoria_infrafrenata",1305.46,38,"Litoria_infrafrenata ","Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No"
"110","Loris_tardigradus",1221.01,14,"Loris_tardigradus ","Loris_tardigradus","Mammal","Primate","No","No","No"
"111","Loxodonta_africana",1458.81,92,"Loxodonta_africana ","Loxodonta_africana","Mammal","Ungulate","No","No","Yes"
"112","Lycaon_pictus",1650.93,167,"Lycaon_pictus ","Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"113","Lycaon_pictus2",1678.53,172,"Lycaon_pictus2 ","Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"114","Lynx_rufus",1658.3,168,"Lynx_rufus ","Lynx_rufus","Mammal","Felidae","No","Yes","No"
"115","Lynx_rufus2",1589.7,152,"Lynx_rufus2 ","Lynx_rufus","Mammal","Felidae","No","Yes","No"
