"","Name","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"135","Nestor_meridionalis",1347.38,58,"Nestor_meridionalis","Bird","Bird(notRaptor)","No","No","No","Others"
"136","Notechis_scutatus",1835.75,211,"Notechis_scutatus","Squamata","Snake","No","Yes","Yes","Snake"
"137","Numida_meleagris",1492.92,108,"Numida_meleagris","Bird","Bird(notRaptor)","No","No","No","Others"
"138","Nyctereutes_procyonoides",1368.34,65,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No","Canidae"
"139","Odonata",1545.88,136,"Odonata","Insect","Odonata","No","Yes","No","Others"
"140","Odonata2",1533.92,130,"Odonata","Insect","Odonata","No","Yes","No","Others"
"141","Oryctolagus_cuniculus",1046.67,3,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"142","Oryctolagus_cuniculus2",961.4,1,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"143","Otocolobus_manul",1487.9,104,"Otocolobus_manul","Mammal","Felidae","No","Yes","No","Felidae"
"144","Pamphagidae",1471.04,99,"Pamphagidae","Insect","Orthoptere","No","No","No","Others"
"145","Pan_paniscus",1417.36,80,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"146","Pan_paniscus2",1458.38,94,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"147","Pan_paniscus3",1423.05,82,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"148","Pan_paniscus4",1407.19,75,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"149","Pan_troglodytes",1528.78,126,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes","Primate"
"150","Pan_troglodytes2",1374.97,68,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes","Primate"
"151","Panthera_leo",1749.93,188,"Panthera_leo","Mammal","Felidae","Yes","No","Yes","Felidae"
"152","Panthera_leo2",1708.35,180,"Panthera_leo","Mammal","Felidae","Yes","No","Yes","Felidae"
"153","Panthera_leo3",1746.7,187,"Panthera_leo","Mammal","Felidae","Yes","No","Yes","Felidae"
"154","Panthera_onca",1752.84,192,"Panthera_onca","Mammal","Felidae","Yes","No","Yes","Felidae"
"155","Panthera_onca_2",1696.52,175,"Panthera_onca","Mammal","Felidae","Yes","No","Yes","Felidae"
"156","Panthera_onca3",1797.84,205,"Panthera_onca","Mammal","Felidae","Yes","No","Yes","Felidae"
"157","Panthera_pardus",1772.43,199,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes","Felidae"
"158","Panthera_pardus_3",1762.91,197,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes","Felidae"
"159","Panthera_pardus2",1715.34,181,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes","Felidae"
"160","Panthera_tigris2",1762.69,196,"Panthera_tigris","Mammal","Felidae","Yes","No","Yes","Felidae"
"161","Panthera_uncia",1697.67,176,"Panthera_uncia","Mammal","Felidae","Yes","No","Yes","Felidae"
"162","Papillon",1527.69,125,"Papillon","Insect","Lepidoptera","No","No","No","Others"
"163","Papio_hamadryas",1615.58,158,"Papio_hamadryas","Mammal","Primate","No","No","No","Primate"
"164","Pardofelis_temminckii",1583.61,148,"Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No","Felidae"
"165","Petroica_macrocephala",982.58,2,"Petroica_macrocephala","Bird","Bird(notRaptor)","No","No","No","Others"
"166","Phacochoerus_africanus",1762.3,195,"Phacochoerus_africanus","Mammal","Ungulate","No","No","No","Others"
"167","Phascolarctos_cinereus",1056.33,4,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"168","Phascolarctos_cinereus2",1062.45,5,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"169","Pholcus_phalangioides",1831.84,210,"Pholcus_phalangioides","Spider","Spider","No","Yes","No","Spider"
"170","Pithecia pithecia",1514.89,118,"Pithecia_pithecia","Mammal","Primate","No","No","No","Primate"
"171","Pithecia pithecia2",1556.14,141,"Pithecia_pithecia","Mammal","Primate","No","No","No","Primate"
"172","Plathyrrhinus_fusciventris",1525.15,123,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No","Others"
"173","Podarcis_muralis",1614.73,157,"Podarcis_muralis","Squamata","Lizard","No","Yes","No","Others"
"174","Pogona_vitticeps",1491.61,106,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No","Others"
"175","Porphyrio_hochstetteri",1441.53,89,"Porphyrio_hochstetteri","Bird","Bird(notRaptor)","No","No","No","Others"
"176","Procyon_lotor",1321.4,50,"Procyon_lotor","Mammal","Procyonide","No","Yes","No","Others"
"177","Propithecus_coquereli",1268.11,30,"Propithecus_coquereli","Mammal","Primate","No","No","No","Primate"
"178","Propithecus_verreauxi",1278.36,32,"Propithecus_verreauxi","Mammal","Primate","No","No","No","Primate"
"179","Psittacus_erithacus",1286.89,34,"Psittacus_erithacus","Bird","Bird(notRaptor)","No","No","No","Others"
"180","Pteropus_conspicillatus",1424.6,83,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No","Others"
"181","Puma_concolor",1715.6,182,"Puma_concolor","Mammal","Felidae","Yes","No","Yes","Felidae"
"182","Python_bivittatus",1803.98,208,"Python_bivittatus","Squamata","Snake","Yes","Yes","Yes","Snake"
"183","Python_regius",1800.83,206,"Python_regius","Squamata","Snake","No","Yes","No","Snake"
"184","Rattus_norvegicus",1354.98,60,"Rattus_norvegicus","Mammal","Rodent","No","No","No","Others"
"185","Rhinopithecus_roxellana",1341.72,56,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No","Primate"
"186","Rhyticeros_cassidix",1424.76,84,"Rhyticeros_cassidix","Bird","Bird(notRaptor)","No","No","No","Others"
"187","Romalea_microptera",1475.01,100,"Romalea_microptera","Insect","Orthoptere","No","No","No","Others"
"188","Saiga_tatarica",1442.03,90,"Saiga_tatarica","Mammal","Ungulate","No","No","No","Others"
"189","Sarcophilus_harrisii",1599.08,153,"Sarcophilus_harrisii","Mammal","Marsupial","No","Yes","No","Others"
"190","Spalax",1549.16,138,"Spalax","Mammal","Rodent","No","No","No","Others"
"191","Spheniscus_humboldti",1204.62,12,"Spheniscus_humboldti","Bird","Bird(notRaptor)","No","Yes","No","Others"
"192","Stephanoaetus_coronatus",1509.39,115,"Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No","Raptor"
"193","Strophurus",1483.63,102,"Strophurus_","Squamata","Lizard","No","Yes","No","Others"
"194","Struthio_camelus",1598.92,152,"Struthio_camelus","Bird","Bird(notRaptor)","No","No","No","Others"
"195","Sula_nebouxii",1460.73,95,"Sula_nebouxii","Bird","Bird(notRaptor)","No","Yes","No","Others"
"196","Sula_sula",1510.54,116,"Sula_sula","Bird","Bird(notRaptor)","No","Yes","No","Others"
"197","Suricata_suricatta",1305.63,44,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No","Others"
